TITLE SAMPLE NAME:,PP_ZEPTO_LID
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.959
LASTX:,599.82981
LASTY:,97.976
NPOINTS:,1681
2295.26713,98.777
2293.22689,98.797
2291.18665,98.809
2289.14641,98.804
2287.10618,98.795
2285.06594,98.8
2283.0257,98.812
2280.98546,98.818
2278.94523,98.812
2276.90499,98.796
2274.86475,98.789
2272.82452,98.808
2270.78428,98.832
2268.74404,98.84
2266.7038,98.832
2264.66357,98.83
2262.62333,98.844
2260.58309,98.847
2258.54285,98.829
2256.50262,98.809
2254.46238,98.812
2252.42214,98.83
2250.3819,98.839
2248.34167,98.838
2246.30143,98.842
2244.26119,98.844
2242.22095,98.834
2240.18072,98.816
2238.14048,98.81
2236.10024,98.816
2234.06,98.822
2232.01977,98.827
2229.97953,98.823
2227.93929,98.805
2225.89905,98.797
2223.85882,98.804
2221.81858,98.812
2219.77834,98.819
2217.7381,98.819
2215.69787,98.815
2213.65763,98.817
2211.61739,98.823
2209.57715,98.824
2207.53692,98.819
2205.49668,98.819
2203.45644,98.821
2201.4162,98.826
2199.37597,98.829
2197.33573,98.82
2195.29549,98.817
2193.25525,98.835
2191.21502,98.851
2189.17478,98.841
2187.13454,98.819
2185.0943,98.806
2183.05407,98.8
2181.01383,98.805
2178.97359,98.822
2176.93336,98.832
2174.89312,98.835
2172.85288,98.835
2170.81264,98.828
2168.77241,98.818
2166.73217,98.808
2164.69193,98.795
2162.65169,98.788
2160.61146,98.796
2158.57122,98.806
2156.53098,98.801
2154.49074,98.793
2152.45051,98.803
2150.41027,98.821
2148.37003,98.823
2146.32979,98.81
2144.28956,98.802
2142.24932,98.806
2140.20908,98.807
2138.16884,98.804
2136.12861,98.808
2134.08837,98.804
2132.04813,98.801
2130.00789,98.814
2127.96766,98.821
2125.92742,98.816
2123.88718,98.817
2121.84694,98.819
2119.80671,98.812
2117.76647,98.814
2115.72623,98.824
2113.68599,98.823
2111.64576,98.808
2109.60552,98.792
2107.56528,98.786
2105.52504,98.782
2103.48481,98.782
2101.44457,98.799
2099.40433,98.823
2097.36409,98.83
2095.32386,98.826
2093.28362,98.827
2091.24338,98.826
2089.20315,98.825
2087.16291,98.829
2085.12267,98.827
2083.08243,98.815
2081.0422,98.798
2079.00196,98.793
2076.96172,98.799
2074.92148,98.795
2072.88125,98.776
2070.84101,98.769
2068.80077,98.781
2066.76053,98.794
2064.7203,98.801
2062.68006,98.797
2060.63982,98.795
2058.59958,98.811
2056.55935,98.818
2054.51911,98.806
2052.47887,98.802
2050.43863,98.799
2048.3984,98.79
2046.35816,98.788
2044.31792,98.789
2042.27768,98.794
2040.23745,98.807
2038.19721,98.815
2036.15697,98.806
2034.11673,98.794
2032.0765,98.795
2030.03626,98.8
2027.99602,98.8
2025.95578,98.786
2023.91555,98.768
2021.87531,98.771
2019.83507,98.79
2017.79483,98.806
2015.7546,98.819
2013.71436,98.822
2011.67412,98.811
2009.63388,98.796
2007.59365,98.787
2005.55341,98.783
2003.51317,98.776
2001.47293,98.769
1999.4327,98.766
1997.39246,98.764
1995.35222,98.767
1993.31199,98.774
1991.27175,98.78
1989.23151,98.786
1987.19127,98.792
1985.15104,98.794
1983.1108,98.794
1981.07056,98.798
1979.03032,98.799
1976.99009,98.8
1974.94985,98.812
1972.90961,98.815
1970.86937,98.801
1968.82914,98.789
1966.7889,98.786
1964.74866,98.786
1962.70842,98.795
1960.66819,98.821
1958.62795,98.844
1956.58771,98.84
1954.54747,98.821
1952.50724,98.811
1950.467,98.813
1948.42676,98.82
1946.38652,98.812
1944.34629,98.775
1942.30605,98.74
1940.26581,98.744
1938.22557,98.761
1936.18534,98.763
1934.1451,98.766
1932.10486,98.789
1930.06462,98.815
1928.02439,98.825
1925.98415,98.815
1923.94391,98.783
1921.90367,98.746
1919.86344,98.72
1917.8232,98.708
1915.78296,98.723
1913.74272,98.747
1911.70249,98.751
1909.66225,98.741
1907.62201,98.743
1905.58177,98.758
1903.54154,98.761
1901.5013,98.756
1899.46106,98.754
1897.42083,98.752
1895.38059,98.745
1893.34035,98.737
1891.30011,98.731
1889.25988,98.737
1887.21964,98.758
1885.1794,98.776
1883.13916,98.784
1881.09893,98.778
1879.05869,98.768
1877.01845,98.772
1874.97821,98.78
1872.93798,98.77
1870.89774,98.745
1868.8575,98.716
1866.81726,98.701
1864.77703,98.71
1862.73679,98.732
1860.69655,98.744
1858.65631,98.743
1856.61608,98.741
1854.57584,98.745
1852.5356,98.753
1850.49536,98.756
1848.45513,98.753
1846.41489,98.741
1844.37465,98.725
1842.33441,98.727
1840.29418,98.742
1838.25394,98.747
1836.2137,98.75
1834.17346,98.758
1832.13323,98.762
1830.09299,98.763
1828.05275,98.765
1826.01251,98.764
1823.97228,98.757
1821.93204,98.751
1819.8918,98.742
1817.85156,98.734
1815.81133,98.741
1813.77109,98.75
1811.73085,98.749
1809.69061,98.741
1807.65038,98.729
1805.61014,98.715
1803.5699,98.704
1801.52967,98.7
1799.48943,98.706
1797.44919,98.716
1795.40895,98.725
1793.36872,98.727
1791.32848,98.721
1789.28824,98.716
1787.248,98.718
1785.20777,98.723
1783.16753,98.728
1781.12729,98.721
1779.08705,98.707
1777.04682,98.71
1775.00658,98.732
1772.96634,98.733
1770.9261,98.701
1768.88587,98.677
