PP
TITLE SAMPLE NAME:,Polypropylene (PP)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.0077
LASTX:,599.83616
LASTY:,0.00641
NPOINTS:,1681
1987.21231,0.00638
1985.17205,0.00582
1983.13179,0.00561
1981.09153,0.00569
1979.05128,0.00579
1977.01102,0.00581
1974.97076,0.00570
1972.93050,0.00563
1970.89024,0.00596
1968.84998,0.00682
1966.80972,0.00727
1964.76946,0.00667
1962.72920,0.00599
1960.68894,0.00581
1958.64868,0.00583
1956.60843,0.00593
1954.56817,0.00590
1952.52791,0.00572
1950.48765,0.00570
1948.44739,0.00602
1946.40713,0.00670
1944.36687,0.00770
1942.32661,0.00812
1940.28635,0.00714
1938.24609,0.00608
1936.20584,0.00587
1934.16558,0.00598
1932.12532,0.00594
1930.08506,0.00575
1928.04480,0.00569
1926.00454,0.00633
1923.96428,0.00765
1921.92402,0.00831
1919.88376,0.00823
1917.84350,0.00798
1915.80324,0.00701
1913.76299,0.00621
1911.72273,0.00663
1909.68247,0.00739
1907.64221,0.00721
1905.60195,0.00643
1903.56169,0.00600
1901.52143,0.00585
1899.48117,0.00586
1897.44091,0.00635
1895.40065,0.00691
1893.36040,0.00699
1891.32014,0.00746
1889.27988,0.00793
1887.23962,0.00721
1885.19936,0.00644
1883.15910,0.00620
1881.11884,0.00605
1879.07858,0.00590
1877.03832,0.00576
1874.99806,0.00581
1872.95780,0.00669
1870.91755,0.00914
1868.87729,0.01160
1866.83703,0.01062
1864.79677,0.00791
1862.75651,0.00656
1860.71625,0.00644
1858.67599,0.00644
1856.63573,0.00616
1854.59547,0.00582
1852.55521,0.00583
1850.51496,0.00653
1848.47470,0.00807
1846.43444,0.01018
1844.39418,0.01144
1842.35392,0.00988
1840.31366,0.00769
1838.27340,0.00708
1836.23314,0.00709
1834.19288,0.00716
1832.15262,0.00864
1830.11237,0.01079
1828.07211,0.01081
1826.03185,0.00982
1823.99159,0.00883
1821.95133,0.00737
1819.91107,0.00656
1817.87081,0.00653
1815.83055,0.00655
1813.79029,0.00713
1811.75003,0.00836
1809.70977,0.00866
1807.66952,0.00779
1805.62926,0.00733
1803.58900,0.00837
1801.54874,0.01012
1799.50848,0.01053
1797.46822,0.01009
1795.42796,0.01073
1793.38770,0.01253
1791.34744,0.01255
1789.30718,0.00974
1787.26693,0.00787
1785.22667,0.00797
1783.18641,0.00873
1781.14615,0.00945
1779.10589,0.00938
1777.06563,0.00932
1775.02537,0.01121
1772.98511,0.01434
1770.94485,0.01471
1768.90459,0.01208
1766.86433,0.00945
1764.82408,0.00851
1762.78382,0.00956
1760.74356,0.01037
1758.70330,0.01019
1756.66304,0.00993
1754.62278,0.00980
1752.58252,0.01179
1750.54226,0.01570
1748.50200,0.01692
1746.46174,0.01512
1744.42149,0.01361
1742.38123,0.01302
1740.34097,0.01267
1738.30071,0.01230
1736.26045,0.01366
1734.22019,0.01695
1732.17993,0.01651
1730.13967,0.01277
1728.09941,0.00939
1726.05915,0.00778
1724.01889,0.00798
1721.97864,0.00915
1719.93838,0.01255
1717.89812,0.01839
1715.85786,0.01955
1713.81760,0.01490
1711.77734,0.01111
1709.73708,0.01027
1707.69682,0.01211
1705.65656,0.01458
1703.61630,0.01576
1701.57605,0.01781
1699.53579,0.02092
1697.49553,0.02084
1695.45527,0.01680
1693.41501,0.01207
1691.37475,0.01084
1689.33449,0.01241
1687.29423,0.01505
1685.25397,0.01938
1683.21371,0.02066
1681.17345,0.01618
1679.13320,0.01262
1677.09294,0.01185
1675.05268,0.01281
1673.01242,0.01371
1670.97216,0.01508
1668.93190,0.01458
1666.89164,0.01117
1664.85138,0.00984
1662.81112,0.01061
1660.77086,0.00982
1658.73061,0.00877
