TITLE SAMPLE NAME:,PP_GREEN_LID_UPMA
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.587
LASTX:,599.82981
LASTY:,94.138
NPOINTS:,1681
2301.38784,96.897
2299.3476,96.907
2297.30736,96.931
2295.26713,96.949
2293.22689,96.948
2291.18665,96.938
2289.14641,96.930
2287.10618,96.926
2285.06594,96.934
2283.0257,96.946
2280.98546,96.946
2278.94523,96.939
2276.90499,96.925
2274.86475,96.913
2272.82452,96.918
2270.78428,96.939
2268.74404,96.962
2266.7038,96.973
2264.66357,96.971
2262.62333,96.970
2260.58309,96.968
2258.54285,96.961
2256.50262,96.958
2254.46238,96.966
2252.42214,96.979
2250.3819,96.982
2248.34167,96.964
2246.30143,96.943
2244.26119,96.944
2242.22095,96.950
2240.18072,96.945
2238.14048,96.941
2236.10024,96.937
2234.06,96.933
2232.01977,96.944
2229.97953,96.955
2227.93929,96.945
2225.89905,96.935
2223.85882,96.938
2221.81858,96.950
2219.77834,96.962
2217.7381,96.967
2215.69787,96.963
2213.65763,96.958
2211.61739,96.957
2209.57715,96.948
2207.53692,96.932
2205.49668,96.930
2203.45644,96.939
2201.4162,96.941
2199.37597,96.933
2197.33573,96.928
2195.29549,96.931
2193.25525,96.934
2191.21502,96.941
2189.17478,96.948
2187.13454,96.942
2185.0943,96.930
2183.05407,96.920
2181.01383,96.928
2178.97359,96.949
2176.93336,96.961
2174.89312,96.962
2172.85288,96.952
2170.81264,96.941
2168.77241,96.936
2166.73217,96.935
2164.69193,96.930
2162.65169,96.921
2160.61146,96.918
2158.57122,96.923
2156.53098,96.927
2154.49074,96.929
2152.45051,96.931
2150.41027,96.927
2148.37003,96.924
2146.32979,96.924
2144.28956,96.922
2142.24932,96.923
2140.20908,96.929
2138.16884,96.935
2136.12861,96.938
2134.08837,96.936
2132.04813,96.940
2130.00789,96.953
2127.96766,96.949
2125.92742,96.928
2123.88718,96.917
2121.84694,96.928
2119.80671,96.943
2117.76647,96.946
2115.72623,96.938
2113.68599,96.926
2111.64576,96.906
2109.60552,96.892
2107.56528,96.900
2105.52504,96.918
2103.48481,96.929
2101.44457,96.935
2099.40433,96.935
2097.36409,96.928
2095.32386,96.927
2093.28362,96.939
2091.24338,96.940
2089.20315,96.929
2087.16291,96.918
2085.12267,96.910
2083.08243,96.904
2081.0422,96.902
2079.00196,96.904
2076.96172,96.905
2074.92148,96.898
2072.88125,96.875
2070.84101,96.854
2068.80077,96.869
2066.76053,96.905
2064.7203,96.918
2062.68006,96.907
2060.63982,96.913
2058.59958,96.929
2056.55935,96.921
2054.51911,96.909
2052.47887,96.916
2050.43863,96.919
2048.3984,96.923
2046.35816,96.936
2044.31792,96.938
2042.27768,96.936
2040.23745,96.942
2038.19721,96.940
2036.15697,96.925
2034.11673,96.915
2032.0765,96.924
2030.03626,96.932
2027.99602,96.920
2025.95578,96.895
2023.91555,96.878
2021.87531,96.882
2019.83507,96.895
2017.79483,96.900
2015.7546,96.900
2013.71436,96.899
2011.67412,96.896
2009.63388,96.890
2007.59365,96.890
2005.55341,96.893
2003.51317,96.896
2001.47293,96.897
1999.4327,96.897
1997.39246,96.892
1995.35222,96.895
1993.31199,96.910
1991.27175,96.923
1989.23151,96.926
1987.19127,96.924
1985.15104,96.920
1983.1108,96.917
1981.07056,96.912
1979.03032,96.904
1976.99009,96.896
1974.94985,96.896
1972.90961,96.900
1970.86937,96.901
1968.82914,96.896
1966.7889,96.892
1964.74866,96.893
1962.70842,96.901
1960.66819,96.918
1958.62795,96.933
1956.58771,96.930
1954.54747,96.914
1952.50724,96.899
1950.467,96.892
1948.42676,96.899
1946.38652,96.908
1944.34629,96.896
1942.30605,96.866
1940.26581,96.851
1938.22557,96.854
1936.18534,96.860
1934.1451,96.874
1932.10486,96.891
1930.06462,96.895
1928.02439,96.895
1925.98415,96.899
1923.94391,96.891
1921.90367,96.870
1919.86344,96.859
1917.8232,96.856
1915.78296,96.853
1913.74272,96.848
1911.70249,96.846
1909.66225,96.853
1907.62201,96.859
1905.58177,96.855
1903.54154,96.848
1901.5013,96.849
1899.46106,96.849
1897.42083,96.841
1895.38059,96.840
1893.34035,96.856
1891.30011,96.877
1889.25988,96.884
1887.21964,96.880
1885.1794,96.877
1883.13916,96.880
1881.09893,96.879
1879.05869,96.873
1877.01845,96.871
1874.97821,96.868
1872.93798,96.860
1870.89774,96.861
1868.8575,96.863
1866.81726,96.851
1864.77703,96.843
1862.73679,96.853
1860.69655,96.861
1858.65631,96.855
1856.61608,96.848
1854.57584,96.854
1852.5356,96.865
1850.49536,96.873
1848.45513,96.875
1846.41489,96.862
1844.37465,96.846
1842.33441,96.854
1840.29418,96.873
1838.25394,96.875
1836.2137,96.861
1834.17346,96.856
1832.13323,96.863
1830.09299,96.868
1828.05275,96.869
1826.01251,96.870
1823.97228,96.868
1821.93204,96.870
1819.8918,96.872
1817.85156,96.874
1815.81133,96.879
1813.77109,96.881
1811.73085,96.878
1809.69061,96.873
1807.65038,96.866
1805.61014,96.858
1803.5699,96.855
1801.52967,96.859
1799.48943,96.865
1797.44919,96.865
1795.40895,96.869
1793.36872,96.872
1791.32848,96.861
1789.28824,96.849
1787.248,96.847
1785.20777,96.847
1783.16753,96.849
1781.12729,96.849
1779.08705,96.852
1777.04682,96.877
1775.00658,96.912
1772.96634,96.906
1770.9261,96.850
1768.88587,96.811
1766.84563,96.809
1764.80539,96.821
1762.76515,96.828
1760.72492,96.813
1758.68468,96.785
1756.64444,96.770
1754.6042,96.777
1752.56397,96.789
1750.52373,96.781
1748.48349,96.752
1746.44325,96.729
1744.40302,96.728
1742.36278,96.731
1740.32254,96.718
1738.2823,96.682
1736.24207,96.622
1734.20183,96.536
1732.16159,96.468
1730.12135,96.448
1728.08112,96.436
1726.04088,96.413
1724.00064,96.386
1721.9604,96.374
1719.92017,96.385
1717.87993,96.391
1715.83969,96.367
1713.79945,96.349
1711.75922,96.366
1709.71898,96.418
1707.67874,96.484
1705.63851,96.529
1703.59827,96.550
1701.55803,96.561
1699.51779,96.559
1697.47756,96.555
1695.43732,96.557
1693.39708,96.567
1691.35684,96.582
1689.31661,96.610
1687.27637,96.661
1685.23613,96.705
1683.19589,96.692
1681.15566,96.660
1679.11542,96.653
1677.07518,96.651
1675.03494,96.642
1672.99471,96.654
1670.95447,96.680
1668.91423,96.680
1666.87399,96.662
1664.83376,96.658
1662.79352,96.651
1660.75328,96.631
1658.71304,96.626
1656.67281,96.655
1654.63257,96.691
1652.59233,96.698
1650.55209,96.709
1648.51186,96.725
1646.47162,96.699
1644.43138,96.652
1642.39114,96.635
1640.35091,96.651
1638.31067,96.676
1636.27043,96.667
1634.23019,96.628
1632.18996,96.620
1630.14972,96.643
1628.10948,96.663
1626.06924,96.677
1624.02901,96.689
1621.98877,96.687
1619.94853,96.691
1617.90829,96.705
1615.86806,96.697
1613.82782,96.672
1611.78758,96.657
1609.74735,96.650
1607.70711,96.640
1605.66687,96.631
1603.62663,96.624
1601.5864,96.616
1599.54616,96.614
1597.50592,96.627
1595.46568,96.647
1593.42545,96.662
1591.38521,96.668
1589.34497,96.667
1587.30473,96.665
1585.2645,96.661
