TITLE SAMPLE NAME:,PET_ZEPTO_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99
LASTX:,599.82981
LASTY:,99.064
NPOINTS:,1681
2299.3476,99.055
2297.30736,99.088
2295.26713,99.111
2293.22689,99.113
2291.18665,99.099
2289.14641,99.082
2287.10618,99.081
2285.06594,99.094
2283.0257,99.105
2280.98546,99.101
2278.94523,99.082
2276.90499,99.065
2274.86475,99.064
2272.82452,99.08
2270.78428,99.111
2268.74404,99.134
2266.7038,99.139
2264.66357,99.153
2262.62333,99.174
2260.58309,99.16
2258.54285,99.119
2256.50262,99.098
2254.46238,99.118
2252.42214,99.151
2250.3819,99.159
2248.34167,99.138
2246.30143,99.113
2244.26119,99.112
2242.22095,99.122
2240.18072,99.119
2238.14048,99.11
2236.10024,99.112
2234.06,99.132
2232.01977,99.154
2229.97953,99.157
2227.93929,99.142
2225.89905,99.131
2223.85882,99.131
2221.81858,99.132
2219.77834,99.134
2217.7381,99.138
2215.69787,99.136
2213.65763,99.135
2211.61739,99.131
2209.57715,99.121
2207.53692,99.123
2205.49668,99.136
2203.45644,99.132
2201.4162,99.124
2199.37597,99.139
2197.33573,99.157
2195.29549,99.146
2193.25525,99.132
2191.21502,99.144
2189.17478,99.156
2187.13454,99.143
2185.0943,99.122
2183.05407,99.122
2181.01383,99.135
2178.97359,99.138
2176.93336,99.132
2174.89312,99.127
2172.85288,99.131
2170.81264,99.133
2168.77241,99.127
2166.73217,99.113
2164.69193,99.096
2162.65169,99.106
2160.61146,99.136
2158.57122,99.143
2156.53098,99.131
2154.49074,99.129
2152.45051,99.144
2150.41027,99.157
2148.37003,99.152
2146.32979,99.137
2144.28956,99.124
2142.24932,99.115
2140.20908,99.113
2138.16884,99.114
2136.12861,99.107
2134.08837,99.102
2132.04813,99.115
2130.00789,99.136
2127.96766,99.138
2125.92742,99.124
2123.88718,99.117
2121.84694,99.125
2119.80671,99.128
2117.76647,99.114
2115.72623,99.107
2113.68599,99.119
2111.64576,99.125
2109.60552,99.114
2107.56528,99.106
2105.52504,99.109
2103.48481,99.114
2101.44457,99.118
2099.40433,99.125
2097.36409,99.134
2095.32386,99.137
2093.28362,99.133
2091.24338,99.126
2089.20315,99.112
2087.16291,99.096
2085.12267,99.093
2083.08243,99.099
2081.0422,99.111
2079.00196,99.135
2076.96172,99.156
2074.92148,99.156
2072.88125,99.146
2070.84101,99.133
2068.80077,99.122
2066.76053,99.137
2064.7203,99.148
2062.68006,99.124
2060.63982,99.11
2058.59958,99.131
2056.55935,99.158
2054.51911,99.159
2052.47887,99.143
2050.43863,99.141
2048.3984,99.147
2046.35816,99.141
2044.31792,99.14
2042.27768,99.153
2040.23745,99.153
2038.19721,99.142
2036.15697,99.148
2034.11673,99.167
2032.0765,99.18
2030.03626,99.177
2027.99602,99.169
2025.95578,99.166
2023.91555,99.166
2021.87531,99.152
2019.83507,99.141
2017.79483,99.152
2015.7546,99.152
2013.71436,99.156
2011.67412,99.182
2009.63388,99.191
2007.59365,99.185
2005.55341,99.185
2003.51317,99.186
2001.47293,99.178
1999.4327,99.166
1997.39246,99.147
1995.35222,99.128
1993.31199,99.138
1991.27175,99.118
1989.23151,99.074
1987.19127,99.09
1985.15104,99.127
1983.1108,99.137
1981.07056,99.127
1979.03032,99.13
1976.99009,99.136
1974.94985,99.136
1972.90961,99.134
1970.86937,99.124
1968.82914,99.137
1966.7889,99.16
1964.74866,99.146
1962.70842,99.148
1960.66819,99.156
1958.62795,99.131
1956.58771,99.111
1954.54747,99.116
1952.50724,99.121
1950.467,99.113
1948.42676,99.092
1946.38652,99.078
1944.34629,99.122
1942.30605,99.148
1940.26581,99.097
1938.22557,99.099
1936.18534,99.135
1934.1451,99.149
1932.10486,99.17
1930.06462,99.181
1928.02439,99.15
1925.98415,99.112
