TITLE SAMPLE NAME:,PET_SPRITE_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.06634745
LASTX:,599.83616
LASTY:,97.68772598
NPOINTS:,1681
2585.00821,98.51900114
2582.96795,98.51219593
2580.92769,98.52580683
2578.88744,98.54395763
2576.84718,98.53261299
2574.80692,98.50765938
2572.76666,98.50312304
2570.7264,98.50992763
2568.68614,98.50992763
2566.64588,98.50992763
2564.60562,98.51219593
2562.56536,98.52580683
2560.5251,98.55076504
2558.48484,98.56211177
2556.44459,98.54849585
2554.40433,98.52353822
2552.36407,98.51673269
2550.32381,98.53488181
2548.28355,98.54622671
2546.24329,98.53488181
2544.20303,98.5280755
2542.16277,98.54395763
2540.12251,98.55303428
2538.08225,98.54849585
2536.042,98.53488181
2534.00174,98.5280755
2531.96148,98.52580683
2529.92122,98.52580683
2527.88096,98.53488181
2525.8407,98.53941961
2523.80044,98.53034422
2521.76018,98.53034422
2519.71992,98.53715069
2517.67966,98.53715069
2515.6394,98.5280755
2513.59915,98.52580683
2511.55889,98.53488181
2509.51863,98.53941961
2507.47837,98.53488181
2505.43811,98.54849585
2503.39785,98.56665082
2501.35759,98.56892043
2499.31733,98.56438127
2497.27707,98.55757292
2495.23681,98.55757292
2493.19656,98.55984232
2491.1563,98.55757292
2489.11604,98.54622671
2487.07578,98.52580683
2485.03552,98.50765938
2482.99526,98.50085494
2480.955,98.4985869
2478.91474,98.50312304
2476.87448,98.50992763
2474.83422,98.51900114
2472.79396,98.53488181
2470.75371,98.53941961
2468.71345,98.53715069
2466.67319,98.54622671
2464.63293,98.56438127
2462.59267,98.57799938
2460.55241,98.58707917
2458.51215,98.58253917
2456.47189,98.57119009
2454.43163,98.56892043
2452.39137,98.56665082
2450.35112,98.55757292
2448.31086,98.55757292
2446.2706,98.56665082
2444.23034,98.56211177
2442.19008,98.54622671
2440.14982,98.54395763
2438.10956,98.54849585
2436.0693,98.54849585
2434.02904,98.54168859
2431.98878,98.53941961
2429.94852,98.53488181
2427.90827,98.53261299
2425.86801,98.53488181
2423.82775,98.53261299
2421.78749,98.52580683
2419.74723,98.53488181
2417.70697,98.54622671
2415.66671,98.54849585
2413.62645,98.55076504
2411.58619,98.55530357
2409.54593,98.55530357
2407.50568,98.55303428
2405.46542,98.55757292
2403.42516,98.55984232
2401.3849,98.55076504
2399.34464,98.55530357
2397.30438,98.56892043
2395.26412,98.5734598
2393.22386,98.55757292
2391.1836,98.5280755
2389.14334,98.49405098
2387.10308,98.44870324
2385.06283,98.37165998
2383.02257,98.23811034
2380.98231,98.04376944
2378.94205,97.80926605
2376.90179,97.57981716
2374.86153,97.3665989
2372.82127,97.14937255
2370.78101,96.94379125
2368.74075,96.78320505
2366.70049,96.63178456
2364.66024,96.47171519
2362.61998,96.3762447
2360.57972,96.36736853
2358.53946,96.39621907
2356.4992,96.48060097
2354.45894,96.65403741
2352.41868,96.89023294
2350.37842,97.11582414
2348.33816,97.20083596
2346.2979,97.08452274
2344.25764,96.92816702
2342.21739,96.90808242
2340.17713,96.95272052
2338.13687,96.98621259
2336.09661,97.00854706
2334.05635,97.03535521
2332.01609,97.03535521
2329.97583,97.02641834
2327.93557,97.06664076
2325.89531,97.10687985
2323.85505,97.10464391
2321.8148,97.14489876
2319.77454,97.25456597
2317.73428,97.37780929
2315.69402,97.48100545
2313.65376,97.55510484
2311.6135,97.61127824
2309.57324,97.68772598
2307.53298,97.78899887
2305.49272,97.89939321
2303.45246,97.99185974
2301.4122,98.06860554
2299.37195,98.14767135
2297.33169,98.22680091
2295.29143,98.29467702
2293.25117,98.33316097
2291.21091,98.36939492
2289.17065,98.42150461
2287.13039,98.46457257
2285.09013,98.49405098
2283.04987,98.53261299
2281.00961,98.56892043
2278.96936,98.58026925
2276.9291,98.56665082
2274.88884,98.54849585
2272.84858,98.53715069
2270.80832,98.52580683
2268.76806,98.51900114
2266.7278,98.51900114
2264.68754,98.51900114
2262.64728,98.51673269
2260.60702,98.52580683
2258.56676,98.54395763
2256.52651,98.54168859
2254.48625,98.53034422
2252.44599,98.53261299
2250.40573,98.54849585
2248.36547,98.57119009
2246.32521,98.58253917
2244.28495,98.58253917
2242.24469,98.58480914
2240.20443,98.58480914
2238.16417,98.58480914
2236.12392,98.59615979
2234.08366,98.6120529
2232.0434,98.61886501
2230.00314,98.62340668
2227.96288,98.6256776
2225.92262,98.61432355
2223.88236,98.59615979
2221.8421,98.59615979
2219.80184,98.60070042
2217.76158,98.59161938
2215.72132,98.57572957
2213.68107,98.5734598
2211.64081,98.58934925
2209.60055,98.59843008
2207.56029,98.59161938
2205.52003,98.58026925
2203.47977,98.57799938
2201.43951,98.58480914
2199.39925,98.59161938
2197.35899,98.59843008
2195.31873,98.60297081
2193.27848,98.60524125
2191.23822,98.60524125
2189.19796,98.58707917
2187.1577,98.56438127
2185.11744,98.56892043
2183.07718,98.58934925
2181.03692,98.59161938
2178.99666,98.57572957
2176.9564,98.56665082
2174.91614,98.56438127
2172.87588,98.56665082
2170.83563,98.56665082
2168.79537,98.56211177
2166.75511,98.55984232
2164.71485,98.56438127
2162.67459,98.56665082
2160.63433,98.55757292
2158.59407,98.53488181
2156.55381,98.52353822
2154.51355,98.53488181
2152.47329,98.55076504
2150.43304,98.56892043
2148.39278,98.58480914
2146.35252,98.58253917
2144.31226,98.58253917
2142.272,98.59161938
2140.23174,98.59615979
2138.19148,98.58480914
2136.15122,98.5734598
2134.11096,98.58934925
2132.0707,98.60524125
2130.03044,98.60297081
2127.99019,98.58934925
2125.94993,98.57799938
2123.90967,98.56665082
2121.86941,98.56211177
2119.82915,98.56892043
2117.78889,98.57119009
2115.74863,98.56892043
2113.70837,98.5734598
2111.66811,98.58253917
2109.62785,98.59843008
2107.5876,98.6097823
2105.54734,98.60070042
2103.50708,98.59388956
2101.46682,98.59615979
2099.42656,98.58026925
2097.3863,98.56438127
2095.34604,98.57572957
2093.30578,98.58253917
2091.26552,98.55757292
2089.22526,98.54168859
2087.185,98.56892043
2085.14475,98.59843008
2083.10449,98.59161938
2081.06423,98.57799938
2079.02397,98.59615979
2076.98371,98.61432355
2074.94345,98.59843008
2072.90319,98.58480914
2070.86293,98.58707917
2068.82267,98.56438127
2066.78241,98.49631892
2064.74216,98.45323707
2062.7019,98.4985869
2060.66164,98.56211177
2058.62138,98.59388956
2056.58112,98.60297081
2054.54086,98.58707917
2052.5006,98.56892043
2050.46034,98.57572957
2048.42008,98.58253917
2046.37982,98.58026925
2044.33956,98.55303428
2042.29931,98.50765938
2040.25905,98.50312304
2038.21879,98.54849585
2036.17853,98.58707917
2034.13827,98.60297081
2032.09801,98.6097823
2030.05775,98.61659425
2028.01749,98.61432355
2025.97723,98.60297081
2023.93697,98.58480914
2021.89672,98.53488181
2019.85646,98.42830356
2017.8162,98.3218406
2015.77594,98.36260004
2013.73568,98.50765938
2011.69542,98.59388956
2009.65516,98.59843008
2007.6149,98.59161938
2005.57464,98.61432355
2003.53438,98.63476178
2001.49412,98.60751175
1999.45387,98.56892043
1997.41361,98.55984232
1995.37335,98.48044447
1993.33309,98.27657214
1991.29283,98.1747943
1989.25257,98.28562416
1987.21231,98.43736956
1985.17205,98.55530357
1983.13179,98.6097823
1981.09153,98.6120529
1979.05128,98.60524125
1977.01102,98.60297081
1974.97076,98.60524125
1972.9305,98.6097823
1970.89024,98.53941961
1968.84998,98.3422182
1966.80972,98.23811034
1964.76946,98.36712991
1962.7292,98.51673269
1960.68894,98.56892043
1958.64868,98.5734598
1956.60843,98.55076504
1954.56817,98.55530357
1952.52791,98.59388956
1950.48765,98.59615979
1948.44739,98.52580683
1946.40713,98.37619027
1944.36687,98.14541144
1942.32661,98.04602701
1940.28635,98.27657214
1938.24609,98.52126965
1936.20584,98.55984232
1934.16558,98.53941961
1932.12532,98.55984232
1930.08506,98.59388956
1928.0448,98.58707917
1926.00454,98.44190288
1923.96428,98.1567115
1921.92402,98.02119663
1919.88376,98.04151192
1917.8435,98.0844136
1915.80324,98.29241373
1913.76299,98.4713745
1911.72273,98.37619027
1909.68247,98.19740249
