TITLE SAMPLE NAME:,PET_PAPERBOAT
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.149
LASTX:,599.82981
LASTY:,99.324
NPOINTS:,1681
2295.26713,99.255
2293.22689,99.267
2291.18665,99.281
2289.14641,99.286
2287.10618,99.293
2285.06594,99.309
2283.0257,99.324
2280.98546,99.323
2278.94523,99.304
2276.90499,99.291
2274.86475,99.302
2272.82452,99.318
2270.78428,99.33
2268.74404,99.333
2266.7038,99.338
2264.66357,99.353
2262.62333,99.36
2260.58309,99.341
2258.54285,99.312
2256.50262,99.308
2254.46238,99.317
2252.42214,99.307
2250.3819,99.293
2248.34167,99.294
2246.30143,99.293
2244.26119,99.293
2242.22095,99.3
2240.18072,99.31
2238.14048,99.317
2236.10024,99.318
2234.06,99.328
2232.01977,99.335
2229.97953,99.319
2227.93929,99.302
2225.89905,99.306
2223.85882,99.32
2221.81858,99.326
2219.77834,99.316
2217.7381,99.307
2215.69787,99.308
2213.65763,99.316
2211.61739,99.325
2209.57715,99.331
2207.53692,99.337
2205.49668,99.337
2203.45644,99.32
2201.4162,99.299
2199.37597,99.296
2197.33573,99.308
2195.29549,99.311
2193.25525,99.309
2191.21502,99.318
2189.17478,99.333
2187.13454,99.339
2185.0943,99.336
2183.05407,99.342
2181.01383,99.352
2178.97359,99.353
2176.93336,99.348
2174.89312,99.343
2172.85288,99.342
2170.81264,99.346
2168.77241,99.347
2166.73217,99.326
2164.69193,99.294
2162.65169,99.296
2160.61146,99.326
2158.57122,99.341
2156.53098,99.342
2154.49074,99.346
2152.45051,99.35
2150.41027,99.347
2148.37003,99.326
2146.32979,99.302
2144.28956,99.294
2142.24932,99.298
2140.20908,99.303
2138.16884,99.3
2136.12861,99.291
2134.08837,99.297
2132.04813,99.311
2130.00789,99.328
2127.96766,99.337
2125.92742,99.327
2123.88718,99.319
2121.84694,99.324
2119.80671,99.317
2117.76647,99.292
2115.72623,99.285
2113.68599,99.305
2111.64576,99.319
2109.60552,99.326
2107.56528,99.341
2105.52504,99.345
2103.48481,99.331
2101.44457,99.319
2099.40433,99.318
2097.36409,99.318
2095.32386,99.321
2093.28362,99.328
2091.24338,99.333
2089.20315,99.331
2087.16291,99.326
2085.12267,99.321
2083.08243,99.321
2081.0422,99.323
2079.00196,99.333
2076.96172,99.351
2074.92148,99.355
2072.88125,99.339
2070.84101,99.321
2068.80077,99.316
2066.76053,99.301
2064.7203,99.282
2062.68006,99.295
2060.63982,99.314
2058.59958,99.324
2056.55935,99.334
2054.51911,99.343
2052.47887,99.345
2050.43863,99.345
2048.3984,99.341
2046.35816,99.342
2044.31792,99.349
2042.27768,99.336
2040.23745,99.326
2038.19721,99.331
2036.15697,99.33
2034.11673,99.334
2032.0765,99.343
2030.03626,99.347
2027.99602,99.354
2025.95578,99.367
2023.91555,99.372
2021.87531,99.37
2019.83507,99.351
2017.79483,99.32
2015.7546,99.34
2013.71436,99.382
2011.67412,99.389
2009.63388,99.382
2007.59365,99.381
2005.55341,99.384
2003.51317,99.38
2001.47293,99.368
1999.4327,99.361
1997.39246,99.373
1995.35222,99.377
1993.31199,99.316
1991.27175,99.28
1989.23151,99.307
1987.19127,99.331
1985.15104,99.352
1983.1108,99.346
1981.07056,99.328
1979.03032,99.327
1976.99009,99.334
1974.94985,99.335
1972.90961,99.345
1970.86937,99.361
1968.82914,99.327
1966.7889,99.3
1964.74866,99.348
1962.70842,99.365
1960.66819,99.338
1958.62795,99.315
1956.58771,99.289
1954.54747,99.286
1952.50724,99.307
1950.467,99.312
1948.42676,99.313
1946.38652,99.33
1944.34629,99.299
1942.30605,99.276
1940.26581,99.352
1938.22557,99.377
1936.18534,99.336
1934.1451,99.317
1932.10486,99.322
1930.06462,99.34
1928.02439,99.366
1925.98415,99.358
1923.94391,99.293
1921.90367,99.313
1919.86344,99.33
1917.8232,99.283
1915.78296,99.354
1913.74272,99.412
1911.70249,99.368
1909.66225,99.302
1907.62201,99.294
1905.58177,99.322
1903.54154,99.331
1901.5013,99.331
1899.46106,99.344
1897.42083,99.35
1895.38059,99.358
1893.34035,99.405
1891.30011,99.372
1889.25988,99.31
1887.21964,99.361
1885.1794,99.391
1883.13916,99.375
1881.09893,99.364
1879.05869,99.355
1877.01845,99.372
1874.97821,99.425
1872.93798,99.46
1870.89774,99.357
1868.8575,99.227
1866.81726,99.294
1864.77703,99.405
1862.73679,99.41
1860.69655,99.387
1858.65631,99.39
1856.61608,99.4
1854.57584,99.403
1852.5356,99.405
1850.49536,99.405
1848.45513,99.408
1846.41489,99.352
1844.37465,99.265
1842.33441,99.36
1840.29418,99.453
1838.25394,99.399
1836.2137,99.393
1834.17346,99.465
1832.13323,99.435
1830.09299,99.36
1828.05275,99.416
1826.01251,99.409
1823.97228,99.367
1821.93204,99.404
1819.8918,99.388
1817.85156,99.348
1815.81133,99.369
1813.77109,99.375
1811.73085,99.31
1809.69061,99.303
1807.65038,99.374
1805.61014,99.418
1803.5699,99.366
1801.52967,99.278
1799.48943,99.326
1797.44919,99.477
1795.40895,99.511
1793.36872,99.357
1791.32848,99.318
1789.28824,99.478
1787.248,99.501
1785.20777,99.419
1783.16753,99.395
1781.12729,99.379
1779.08705,99.43
1777.04682,99.534
1775.00658,99.496
1772.96634,99.339
1770.9261,99.354
1768.88587,99.451
1766.84563,99.516
1764.80539,99.528
1762.76515,99.405
1760.72492,99.395
1758.68468,99.437
1756.64444,99.438
1754.6042,99.512
1752.56397,99.416
1750.52373,99.229
1748.48349,99.238
1746.44325,99.298
1744.40302,99.248
1742.36278,99.119
1740.32254,99.023
1738.2823,99.064
1736.24207,98.853
1734.20183,98.386
1732.16159,98.313
1730.12135,98.323
1728.08112,98.196
1726.04088,98.052
1724.00064,97.952
1721.9604,97.93
1719.92017,97.688
1717.87993,97.261
1715.83969,97.158
1713.79945,97.277
1711.75922,97.331
1709.71898,97.295
1707.67874,97.231
1705.63851,97.33
1703.59827,97.557
1701.55803,97.503
1699.51779,97.555
1697.47756,97.786
1695.43732,97.886
1693.39708,98.089
1691.35684,98.123
1689.31661,98.123
1687.27637,98.156
1685.23613,97.928
1683.19589,97.965
1681.15566,98.333
1679.11542,98.481
1677.07518,98.381
1675.03494,98.378
1672.99471,98.577
1670.95447,98.517
1668.91423,98.465
1666.87399,98.713
1664.83376,98.731
1662.79352,98.577
1660.75328,98.721
1658.71304,99
1656.67281,98.992
1654.63257,98.556
1652.59233,98.572
1650.55209,99.196
1648.51186,99.129
1646.47162,98.774
1644.43138,98.938
1642.39114,99.143
1640.35091,99.168
1638.31067,99.014
1636.27043,98.759
1634.23019,98.933
1632.18996,99.242
1630.14972,99.206
1628.10948,99.112
1626.06924,99.117
