TITLE SAMPLE NAME:,HDPE_NO_SOAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.45
LASTX:,599.82981
LASTY:,98.269
NPOINTS:,1681
2297.30736,98.158
2295.26713,98.181
2293.22689,98.203
2291.18665,98.209
2289.14641,98.202
2287.10618,98.192
2285.06594,98.192
2283.0257,98.203
2280.98546,98.21
2278.94523,98.197
2276.90499,98.186
2274.86475,98.187
2272.82452,98.193
2270.78428,98.207
2268.74404,98.228
2266.7038,98.247
2264.66357,98.264
2262.62333,98.275
2260.58309,98.263
2258.54285,98.232
2256.50262,98.215
2254.46238,98.22
2252.42214,98.225
2250.3819,98.228
2248.34167,98.233
2246.30143,98.234
2244.26119,98.233
2242.22095,98.232
2240.18072,98.234
2238.14048,98.238
2236.10024,98.237
2234.06,98.236
2232.01977,98.233
2229.97953,98.223
2227.93929,98.211
2225.89905,98.208
2223.85882,98.218
2221.81858,98.225
2219.77834,98.214
2217.7381,98.196
2215.69787,98.195
2213.65763,98.202
2211.61739,98.197
2209.57715,98.191
2207.53692,98.2
2205.49668,98.208
2203.45644,98.202
2201.4162,98.199
2199.37597,98.207
2197.33573,98.211
2195.29549,98.201
2193.25525,98.195
2191.21502,98.21
2189.17478,98.226
2187.13454,98.223
2185.0943,98.209
2183.05407,98.21
2181.01383,98.22
2178.97359,98.226
2176.93336,98.235
2174.89312,98.239
2172.85288,98.227
2170.81264,98.209
2168.77241,98.204
2166.73217,98.204
2164.69193,98.209
2162.65169,98.222
2160.61146,98.231
2158.57122,98.219
2156.53098,98.198
2154.49074,98.197
2152.45051,98.214
2150.41027,98.225
2148.37003,98.218
2146.32979,98.202
2144.28956,98.199
2142.24932,98.202
2140.20908,98.202
2138.16884,98.192
2136.12861,98.183
2134.08837,98.191
2132.04813,98.209
2130.00789,98.228
2127.96766,98.24
2125.92742,98.235
2123.88718,98.232
2121.84694,98.236
2119.80671,98.222
2117.76647,98.197
2115.72623,98.196
2113.68599,98.211
2111.64576,98.212
2109.60552,98.201
2107.56528,98.196
2105.52504,98.19
2103.48481,98.188
