TITLE SAMPLE NAME:,Polyethylene High Density (HDPE)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747000
FIRSTY:,98.62340668
LASTX:,599.83616000
LASTY:,98.59388956
NPOINTS:,1681.00000000
2587.04847,98.96235007
2585.00821,98.97374419
2582.96795,98.97146526
2580.92769,98.97374419
2578.88744,98.97602317
2576.84718,98.96462879
2574.80692,98.96235007
2572.76666,98.98286043
2570.72640,99.00109543
2568.68614,98.99197751
2566.64588,98.97146526
2564.60562,98.97602317
2562.56536,98.98969816
2560.52510,98.99425691
2558.48484,98.99653636
2556.44459,99.00109543
2554.40433,98.99881587
2552.36407,98.99425691
2550.32381,98.99425691
2548.28355,98.98741886
2546.24329,98.97602317
2544.20303,98.97830221
2542.16277,98.99197751
2540.12251,99.01021418
2538.08225,99.01021418
2536.04200,98.99197751
2534.00174,98.97374419
2531.96148,98.97146526
2529.92122,98.96918639
2527.88096,98.96462879
2525.84070,98.97146526
2523.80044,98.98286043
2521.76018,98.98969816
2519.71992,98.99425691
2517.67966,99.00109543
2515.63940,98.99653636
2513.59915,98.99197751
2511.55889,98.99881587
2509.51863,99.00565470
2507.47837,99.01021418
2505.43811,99.01705380
2503.39785,99.02161381
2501.35759,99.02617403
2499.31733,99.01933378
2497.27707,99.00337504
2495.23681,98.98741886
2493.19656,98.98286043
2491.15630,98.98969816
2489.11604,99.00565470
2487.07578,99.00565470
2485.03552,98.99425691
2482.99526,98.99425691
2480.95500,98.98513962
2478.91474,98.96918639
2476.87448,98.97830221
2474.83422,99.00793442
2472.79396,99.01933378
2470.75371,99.00793442
2468.71345,98.99881587
2466.67319,99.00109543
2464.63293,99.01021418
2462.59267,99.02617403
2460.55241,99.03757550
2458.51215,99.03757550
2456.47189,99.02389390
2454.43163,99.01477388
2452.39137,99.01933378
2450.35112,99.01705380
2448.31086,99.01021418
2446.27060,99.01021418
2444.23034,99.00565470
2442.19008,99.00109543
2440.14982,98.99881587
2438.10956,98.98741886
2436.06930,98.97374419
2434.02904,98.97374419
2431.98878,98.98741886
2429.94852,99.00793442
2427.90827,99.02617403
2425.86801,99.02845422
2423.82775,99.01933378
2421.78749,99.00793442
2419.74723,99.00337504
2417.70697,98.99653636
2415.66671,98.98741886
2413.62645,98.99197751
2411.58619,99.00565470
2409.54593,99.01477388
2407.50568,99.01477388
2405.46542,99.01249400
2403.42516,99.01705380
2401.38490,99.02617403
2399.34464,99.03301475
2397.30438,99.02845422
2395.26412,99.00565470
2393.22386,98.98513962
2391.18360,98.97146526
2389.14334,98.95551423
2387.10308,98.92817559
2385.06283,98.86441480
2383.02257,98.74611090
2380.98231,98.57345980
2378.94205,98.35127627
2376.90179,98.11377820
2374.86153,97.88812277
2372.82127,97.67423085
2370.78101,97.47651639
2368.74075,97.30608510
2366.70049,97.16950716
2364.66024,97.03758956
2362.61998,96.90361974
2360.57972,96.84339368
2358.53946,96.88577108
2356.49920,97.00184618
2354.45894,97.18740809
2352.41868,97.41817738
2350.37842,97.63375666
2348.33816,97.70122297
2346.29790,97.55510484
2344.25764,97.36435698
2342.21739,97.33521668
2340.17713,97.40471949
2338.13687,97.46978318
2336.09661,97.50569899
2334.05635,97.52366186
2332.01609,97.51692540
2329.97583,97.50569899
2327.93557,97.55061237
2325.89531,97.62251680
2323.85505,97.68547666
2321.81480,97.75973148
2319.77454,97.84981300
2317.73428,97.94223270
2315.69402,98.02796792
2313.65376,98.10022422
2311.61350,98.17479430
2309.57324,98.27204644
2307.53298,98.37165998
2305.49272,98.46683983
2303.45246,98.55757292
2301.41220,98.63703295
2299.37195,98.68701204
2297.33169,98.72792287
2295.29143,98.78477159
2293.25117,98.83482554
2291.21091,98.87579764
2289.17065,98.91678672
2287.13039,98.94412221
2285.09013,98.95323572
2283.04987,98.96918639
2281.00961,98.98286043
2278.96936,98.99197751
2276.92910,98.99425691
2274.88884,98.98513962
2272.84858,98.97374419
2270.80832,98.96007141
2268.76806,98.94867886
2266.72780,98.96007141
2264.68754,98.97830221
2262.64728,98.98286043
2260.60702,98.98513962
2258.56676,99.00109543
2256.52651,99.00793442
2254.48625,99.00565470
2252.44599,99.01477388
2250.40573,99.03301475
2248.36547,99.04669761
2246.32521,99.04669761
2244.28495,99.03529510
2242.24469,99.03301475
2240.20443,99.03529510
2238.16417,99.03985595
2236.12392,99.04441701
2234.08366,99.04213645
2232.04340,99.04213645
2230.00314,99.05125899
2227.96288,99.06266334
2225.92262,99.06950659
2223.88236,99.06722545
2221.84210,99.06722545
2219.80184,99.06038237
2217.76158,99.03985595
2215.72132,99.03073446
2213.68107,99.04441701
2211.64081,99.05810144
2209.60055,99.05125899
2207.56029,99.03757550
2205.52003,99.02845422
2203.47977,99.02161381
2201.43951,99.02161381
2199.39925,99.03529510
2197.35899,99.04213645
2195.31873,99.03301475
2193.27848,99.03757550
2191.23822,99.04897828
2189.19796,99.04213645
2187.15770,99.02389390
2185.11744,99.01705380
2183.07718,99.02161381
2181.03692,99.02161381
2178.99666,99.01933378
2176.95640,99.02389390
2174.91614,99.02161381
2172.87588,99.01477388
2170.83563,99.00793442
2168.79537,99.00793442
2166.75511,99.02617403
2164.71485,99.04441701
2162.67459,99.05125899
2160.63433,99.04213645
2158.59407,99.01933378
2156.55381,98.99425691
2154.51355,98.99197751
2152.47329,99.00793442
2150.43304,99.02617403
2148.39278,99.03301475
2146.35252,99.03529510
2144.31226,99.04669761
2142.27200,99.05125899
2140.23174,99.04897828
2138.19148,99.04441701
2136.15122,99.03529510
2134.11096,99.04213645
2132.07070,99.05582057
2130.03044,99.06038237
2127.99019,99.04441701
2125.94993,99.02389390
2123.90967,99.02617403
2121.86941,99.04441701
2119.82915,99.06038237
2117.78889,99.06038237
2115.74863,99.04897828
2113.70837,99.04213645
2111.66811,99.05353975
2109.62785,99.06038237
2107.58760,99.05582057
2105.54734,99.04669761
2103.50708,99.05125899
2101.46682,99.05353975
2099.42656,99.03073446
2097.38630,99.01249400
2095.34604,99.02161381
2093.30578,99.03985595
2091.26552,99.03529510
2089.22526,99.02845422
2087.18500,99.04897828
2085.14475,99.06266334
2083.10449,99.04669761
2081.06423,99.03301475
2079.02397,99.04897828
2076.98371,99.06950659
2074.94345,99.06722545
2072.90319,99.06266334
2070.86293,99.06038237
2068.82267,99.03301475
2066.78241,98.98058129
2064.74216,98.95779279
2062.70190,98.99197751
2060.66164,99.02389390
2058.62138,99.04213645
2056.58112,99.06494437
2054.54086,99.07635030
2052.50060,99.08091304
2050.46034,99.08547599
2048.42008,99.08319449
2046.37982,99.07178777
2044.33956,99.03985595
2042.29931,98.99425691
2040.25905,98.98058129
2038.21879,99.01249400
2036.17853,99.03985595
2034.13827,99.05810144
2032.09801,99.07406901
2030.05775,99.07406901
2028.01749,99.05353975
2025.97723,99.03985595
2023.93697,99.03985595
2021.89672,99.01705380
2019.85646,98.93728763
2017.81620,98.84620497
2015.77594,98.87807436
2013.73568,98.99197751
2011.69542,99.05810144
2009.65516,99.06266334
2007.61490,99.06038237
2005.57464,99.06722545
2003.53438,99.08091304
2001.49412,99.07406901
1999.45387,99.04897828
1997.41361,99.02389390
1995.37335,98.94640051
1993.33309,98.78249701
1991.29283,98.70746534
1989.25257,98.79842015
1987.21231,98.92134211
1985.17205,99.01705380
1983.13179,99.06494437
1981.09153,99.07406901
1979.05128,99.07406901
1977.01102,99.08091304
1974.97076,99.08775754
1972.93050,99.08319449
1970.89024,99.01705380
1968.84998,98.85303326
1966.80972,98.76657644
1964.76946,98.87352096
1962.72920,98.99197751
1960.68894,99.03301475
1958.64868,99.03529510
1956.60843,99.02161381
1954.56817,99.04441701
1952.52791,99.09460252
1950.48765,99.08547599
1948.44739,98.99881587
1946.40713,98.84392898
1944.36687,98.63249065
1942.32661,98.55530357
1940.28635,98.77339923
1938.24609,99.00565470
1936.20584,99.06722545
1934.16558,99.06038237
1932.12532,99.06722545
1930.08506,99.08775754
1928.04480,99.07178777
1926.00454,98.92361989
1923.96428,98.66429114
1921.92402,98.53941961
1919.88376,98.54168859
1917.84350,98.58707917
1915.80324,98.79614526
1913.76299,98.95779279
