TITLE SAMPLE NAME:,PP_CHOCO_AMUL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.979
LASTX:,599.82981
LASTY:,100.1
NPOINTS:,1681
2858.37266,98.442
2856.33242,98.494
2854.29219,98.505
2852.25195,98.476
2850.21171,98.464
2848.17148,98.479
2846.13124,98.481
2844.091,98.45
2842.05076,98.379
2840.01053,98.301
2837.97029,98.265
2835.93005,98.252
2833.88981,98.25
2831.84958,98.301
2829.80934,98.392
2827.7691,98.46
2825.72886,98.5
2823.68863,98.532
2821.64839,98.573
2819.60815,98.627
2817.56791,98.663
2815.52768,98.67
2813.48744,98.687
2811.4472,98.711
2809.40696,98.723
2807.36673,98.741
2805.32649,98.765
2803.28625,98.779
2801.24601,98.782
2799.20578,98.787
2797.16554,98.798
2795.1253,98.812
2793.08506,98.821
2791.04483,98.824
2789.00459,98.826
2786.96435,98.827
2784.92411,98.827
2782.88388,98.83
2780.84364,98.845
2778.8034,98.865
2776.76316,98.872
2774.72293,98.874
2772.68269,98.87
2770.64245,98.864
2768.60221,98.875
2766.56198,98.885
2764.52174,98.878
2762.4815,98.881
2760.44126,98.904
2758.40103,98.925
2756.36079,98.932
2754.32055,98.918
2752.28032,98.889
2750.24008,98.88
2748.19984,98.905
2746.1596,98.928
2744.11937,98.931
2742.07913,98.925
2740.03889,98.911
2737.99865,98.892
2735.95842,98.891
2733.91818,98.913
2731.87794,98.942
2729.8377,98.953
2727.79747,98.937
2725.75723,98.917
2723.71699,98.921
2721.67675,98.941
2719.63652,98.94
2717.59628,98.916
2715.55604,98.894
2713.5158,98.884
2711.47557,98.887
2709.43533,98.908
2707.39509,98.932
2705.35485,98.943
2703.31462,98.946
2701.27438,98.957
2699.23414,98.977
2697.1939,98.99
2695.15367,98.993
2693.11343,98.983
2691.07319,98.969
2689.03295,98.964
2686.99272,98.959
2684.95248,98.945
2682.91224,98.929
2680.872,98.927
2678.83177,98.93
2676.79153,98.925
2674.75129,98.926
2672.71105,98.939
2670.67082,98.95
2668.63058,98.951
2666.59034,98.944
2664.5501,98.941
2662.50987,98.951
2660.46963,98.959
2658.42939,98.956
2656.38916,98.951
2654.34892,98.936
2652.30868,98.922
2650.26844,98.93
2648.22821,98.945
2646.18797,98.948
2644.14773,98.95
2642.10749,98.958
2640.06726,98.966
2638.02702,98.967
2635.98678,98.953
2633.94654,98.94
2631.90631,98.952
2629.86607,98.982
2627.82583,99
2625.78559,98.986
2623.74536,98.958
2621.70512,98.942
2619.66488,98.948
2617.62464,98.958
2615.58441,98.954
2613.54417,98.949
2611.50393,98.945
2609.46369,98.937
2607.42346,98.945
2605.38322,98.97
2603.34298,98.977
2601.30274,98.969
2599.26251,98.968
2597.22227,98.969
2595.18203,98.956
2593.14179,98.931
2591.10156,98.926
2589.06132,98.948
2587.02108,98.963
2584.98084,98.962
2582.94061,98.966
2580.90037,98.976
2578.86013,98.984
2576.81989,98.985
2574.77966,98.973
2572.73942,98.956
2570.69918,98.956
2568.65894,98.967
2566.61871,98.978
2564.57847,98.987
2562.53823,98.984
2560.498,98.971
2558.45776,98.959
2556.41752,98.948
2554.37728,98.936
2552.33705,98.941
2550.29681,98.958
2548.25657,98.967
2546.21633,98.969
2544.1761,98.968
2542.13586,98.97
2540.09562,98.974
2538.05538,98.972
2536.01515,98.962
2533.97491,98.947
2531.93467,98.944
2529.89443,98.951
2527.8542,98.947
2525.81396,98.943
2523.77372,98.966
2521.73348,98.998
2519.69325,99.008
2517.65301,99
2515.61277,98.993
2513.57253,98.987
2511.5323,98.976
2509.49206,98.959
2507.45182,98.952
2505.41158,98.968
2503.37135,98.987
2501.33111,98.989
2499.29087,98.972
2497.25063,98.953
2495.2104,98.959
2493.17016,98.981
2491.12992,98.982
2489.08968,98.968
2487.04945,98.96
2485.00921,98.952
2482.96897,98.954
2480.92873,98.965
2478.8885,98.969
2476.84826,98.975
2474.80802,98.983
2472.76778,98.976
2470.72755,98.96
2468.68731,98.953
2466.64707,98.957
2464.60684,98.954
2462.5666,98.954
2460.52636,98.97
2458.48612,98.985
2456.44589,98.987
2454.40565,98.983
2452.36541,98.987
2450.32517,98.999
2448.28494,98.997
2446.2447,98.986
2444.20446,98.98
2442.16422,98.976
2440.12399,98.977
2438.08375,98.985
2436.04351,98.989
2434.00327,98.991
2431.96304,98.992
2429.9228,98.983
2427.88256,98.975
2425.84232,98.981
2423.80209,98.989
2421.76185,98.985
2419.72161,98.975
2417.68137,98.977
2415.64114,98.984
2413.6009,98.988
2411.56066,98.988
2409.52042,98.974
2407.48019,98.951
2405.43995,98.94
2403.39971,98.946
2401.35947,98.951
2399.31924,98.955
2397.279,98.956
2395.23876,98.949
2393.19852,98.933
2391.15829,98.92
2389.11805,98.919
2387.07781,98.928
2385.03757,98.935
2382.99734,98.921
2380.9571,98.886
2378.91686,98.856
2376.87662,98.856
2374.83639,98.888
2372.79615,98.928
2370.75591,98.951
2368.71568,98.96
2366.67544,98.98
2364.6352,99.025
2362.59496,99.064
2360.55473,99.068
2358.51449,99.066
2356.47425,99.083
2354.43401,99.07
2352.39378,99.004
2350.35354,98.938
2348.3133,98.918
2346.27306,98.937
2344.23283,98.972
2342.19259,99.012
2340.15235,99.06
2338.11211,99.09
2336.07188,99.072
2334.03164,99.016
2331.9914,98.954
2329.95116,98.924
2327.91093,98.927
2325.87069,98.935
2323.83045,98.922
2321.79021,98.884
2319.74998,98.845
2317.70974,98.837
2315.6695,98.856
2313.62926,98.878
2311.58903,98.878
2309.54879,98.867
2307.50855,98.872
2305.46831,98.892
2303.42808,98.91
2301.38784,98.924
2299.3476,98.936
2297.30736,98.939
2295.26713,98.939
2293.22689,98.945
2291.18665,98.946
2289.14641,98.943
2287.10618,98.948
2285.06594,98.957
2283.0257,98.956
2280.98546,98.946
2278.94523,98.938
2276.90499,98.943
2274.86475,98.952
2272.82452,98.953
2270.78428,98.952
2268.74404,98.959
2266.7038,98.977
2264.66357,99.007
2262.62333,99.029
2260.58309,99.014
2258.54285,98.971
2256.50262,98.949
2254.46238,98.959
2252.42214,98.97
2250.3819,98.97
2248.34167,98.966
2246.30143,98.967
2244.26119,98.983
2242.22095,98.988
2240.18072,98.978
2238.14048,98.962
2236.10024,98.946
2234.06,98.957
2232.01977,98.988
2229.97953,98.983
2227.93929,98.954
2225.89905,98.95
2223.85882,98.958
2221.81858,98.949
2219.77834,98.936
2217.7381,98.929
2215.69787,98.93
2213.65763,98.944
2211.61739,98.959
2209.57715,98.96
2207.53692,98.952
2205.49668,98.95
2203.45644,98.95
2201.4162,98.95
2199.37597,98.957
2197.33573,98.959
2195.29549,98.948
2193.25525,98.943
2191.21502,98.952
2189.17478,98.963
2187.13454,98.968
2185.0943,98.964
2183.05407,98.959
2181.01383,98.966
2178.97359,98.982
2176.93336,98.983
2174.89312,98.972
2172.85288,98.97
2170.81264,98.967
2168.77241,98.959
2166.73217,98.953
2164.69193,98.946
2162.65169,98.954
2160.61146,98.976
2158.57122,98.98
2156.53098,98.963
2154.49074,98.959
2152.45051,98.975
2150.41027,98.983
2148.37003,98.97
2146.32979,98.949
2144.28956,98.932
2142.24932,98.919
2140.20908,98.918
2138.16884,98.925
2136.12861,98.925
2134.08837,98.925
2132.04813,98.939
2130.00789,98.956
2127.96766,98.961
2125.92742,98.949
2123.88718,98.936
2121.84694,98.935
2119.80671,98.939
2117.76647,98.934
2115.72623,98.928
2113.68599,98.933
2111.64576,98.94
2109.60552,98.939
2107.56528,98.94
2105.52504,98.942
2103.48481,98.943
2101.44457,98.955
2099.40433,98.97
2097.36409,98.968
2095.32386,98.949
2093.28362,98.935
2091.24338,98.94
2089.20315,98.943
2087.16291,98.929
2085.12267,98.914
2083.08243,98.916
2081.0422,98.927
2079.00196,98.943
2076.96172,98.964
2074.92148,98.975
2072.88125,98.967
2070.84101,98.951
2068.80077,98.939
2066.76053,98.933
2064.7203,98.929
2062.68006,98.925
2060.63982,98.916
2058.59958,98.916
2056.55935,98.93
2054.51911,98.943
2052.47887,98.942
2050.43863,98.936
2048.3984,98.936
2046.35816,98.945
2044.31792,98.95
2042.27768,98.934
2040.23745,98.922
2038.19721,98.928
2036.15697,98.937
2034.11673,98.948
2032.0765,98.961
2030.03626,98.964
2027.99602,98.961
2025.95578,98.962
2023.91555,98.954
2021.87531,98.942
2019.83507,98.943
2017.79483,98.951
2015.7546,98.953
2013.71436,98.956
2011.67412,98.962
2009.63388,98.965
2007.59365,98.969
2005.55341,98.969
2003.51317,98.956
2001.47293,98.935
1999.4327,98.92
1997.39246,98.921
1995.35222,98.931
1993.31199,98.93
1991.27175,98.91
1989.23151,98.886
1987.19127,98.882
1985.15104,98.905
1983.1108,98.925
1981.07056,98.922
1979.03032,98.917
1976.99009,98.924
1974.94985,98.925
1972.90961,98.921
1970.86937,98.919
1968.82914,98.913
1966.7889,98.915
1964.74866,98.943
1962.70842,98.968
1960.66819,98.964
1958.62795,98.929
1956.58771,98.885
1954.54747,98.875
1952.50724,98.897
1950.467,98.915
1948.42676,98.922
1946.38652,98.923
1944.34629,98.911
1942.30605,98.896
1940.26581,98.904
1938.22557,98.919
1936.18534,98.914
1934.1451,98.901
1932.10486,98.905
1930.06462,98.915
1928.02439,98.92
1925.98415,98.917
1923.94391,98.903
1921.90367,98.894
1919.86344,98.9
1917.8232,98.9
1915.78296,98.897
1913.74272,98.908
1911.70249,98.922
1909.66225,98.917
1907.62201,98.894
1905.58177,98.882
1903.54154,98.891
1901.5013,98.899
1899.46106,98.901
1897.42083,98.903
1895.38059,98.903
1893.34035,98.904
1891.30011,98.907
1889.25988,98.901
1887.21964,98.892
1885.1794,98.896
1883.13916,98.912
1881.09893,98.916
1879.05869,98.908
1877.01845,98.914
1874.97821,98.933
1872.93798,98.939
1870.89774,98.93
1868.8575,98.91
1866.81726,98.881
1864.77703,98.865
1862.73679,98.879
1860.69655,98.905
1858.65631,98.919
1856.61608,98.917
1854.57584,98.914
1852.5356,98.91
1850.49536,98.897
1848.45513,98.88
1846.41489,98.873
1844.37465,98.869
1842.33441,98.86
1840.29418,98.863
1838.25394,98.88
1836.2137,98.898
1834.17346,98.908
1832.13323,98.916
1830.09299,98.916
1828.05275,98.901
1826.01251,98.878
1823.97228,98.862
1821.93204,98.854
1819.8918,98.844
1817.85156,98.832
1815.81133,98.832
1813.77109,98.843
1811.73085,98.86
1809.69061,98.878
1807.65038,98.885
1805.61014,98.87
1803.5699,98.833
1801.52967,98.812
1799.48943,98.829
1797.44919,98.86
1795.40895,98.881
1793.36872,98.885
1791.32848,98.864
1789.28824,98.84
1787.248,98.832
1785.20777,98.835
1783.16753,98.843
1781.12729,98.84
1779.08705,98.821
1777.04682,98.812
1775.00658,98.828
1772.96634,98.852
1770.9261,98.851
1768.88587,98.831
1766.84563,98.824
1764.80539,98.833
1762.76515,98.838
1760.72492,98.832
1758.68468,98.82
1756.64444,98.807
1754.6042,98.8
1752.56397,98.799
1750.52373,98.797
1748.48349,98.788
1746.44325,98.777
1744.40302,98.782
1742.36278,98.807
1740.32254,98.829
1738.2823,98.831
1736.24207,98.825
1734.20183,98.82
1732.16159,98.813
1730.12135,98.806
1728.08112,98.806
1726.04088,98.821
1724.00064,98.841
1721.9604,98.86
1719.92017,98.876
1717.87993,98.872
1715.83969,98.837
1713.79945,98.806
1711.75922,98.803
1709.71898,98.823
1707.67874,98.842
1705.63851,98.837
1703.59827,98.812
1701.55803,98.807
1699.51779,98.84
1697.47756,98.88
1695.43732,98.882
1693.39708,98.844
1691.35684,98.805
1689.31661,98.803
1687.27637,98.851
1685.23613,98.899
1683.19589,98.868
1681.15566,98.812
1679.11542,98.809
1677.07518,98.838
1675.03494,98.867
1672.99471,98.892
1670.95447,98.894
1668.91423,98.859
1666.87399,98.829
1664.83376,98.836
1662.79352,98.856
1660.75328,98.867
1658.71304,98.881
1656.67281,98.906
1654.63257,98.93
1652.59233,98.928
1650.55209,98.924
1648.51186,98.927
1646.47162,98.897
1644.43138,98.851
1642.39114,98.846
1640.35091,98.884
1638.31067,98.945
1636.27043,98.987
1634.23019,98.972
1632.18996,98.944
1630.14972,98.951
1628.10948,98.973
1626.06924,98.975
1624.02901,98.949
1621.98877,98.923
1619.94853,98.939
1617.90829,98.978
1615.86806,98.976
1613.82782,98.936
1611.78758,98.904
1609.74735,98.889
1607.70711,98.887
1605.66687,98.898
1603.62663,98.904
1601.5864,98.892
1599.54616,98.879
1597.50592,98.884
1595.46568,98.898
1593.42545,98.897
1591.38521,98.881
1589.34497,98.863
1587.30473,98.85
1585.2645,98.85
1583.22426,98.859
1581.18402,98.87
1579.14378,98.889
1577.10355,98.908
1575.06331,98.897
1573.02307,98.874
1570.98283,98.865
1568.9426,98.85
1566.90236,98.831
1564.86212,98.833
1562.82188,98.854
1560.78165,98.889
1558.74141,98.895
1556.70117,98.844
1554.66093,98.81
1552.6207,98.793
1550.58046,98.773
1548.54022,98.751
1546.49998,98.732
1544.45975,98.748
1542.41951,98.834
1540.37927,98.91
1538.33903,98.878
1536.2988,98.828
1534.25856,98.812
1532.21832,98.798
1530.17808,98.772
1528.13785,98.748
1526.09761,98.744
1524.05737,98.778
1522.01713,98.821
1519.9769,98.82
1517.93666,98.786
1515.89642,98.76
1513.85619,98.75
1511.81595,98.736
1509.77571,98.725
1507.73547,98.753
1505.69524,98.794
1503.655,98.792
1501.61476,98.773
1499.57452,98.778
1497.53429,98.809
1495.49405,98.834
1493.45381,98.827
1491.41357,98.803
1489.37334,98.806
1487.3331,98.848
1485.29286,98.873
1483.25262,98.865
1481.21239,98.863
1479.17215,98.883
1477.13191,98.904
1475.09167,98.909
1473.05144,98.884
1471.0112,98.824
1468.97096,98.745
1466.93072,98.651
1464.89049,98.539
1462.85025,98.436
1460.81001,98.374
1458.76977,98.328
1456.72954,98.258
1454.6893,98.194
1452.64906,98.176
1450.60882,98.19
1448.56859,98.23
1446.52835,98.3
1444.48811,98.391
1442.44787,98.483
1440.40764,98.549
1438.3674,98.579
1436.32716,98.597
1434.28692,98.64
1432.24669,98.7
1430.20645,98.751
1428.16621,98.785
