TITLE SAMPLE NAME:,HDPE_BODYWASH
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.920
LASTX:,599.82981
LASTY:,98.866
NPOINTS:,1681
2301.38784,98.642
2299.34760,98.646
2297.30736,98.650
2295.26713,98.663
2293.22689,98.685
2291.18665,98.692
2289.14641,98.679
2287.10618,98.677
2285.06594,98.691
2283.02570,98.702
2280.98546,98.698
2278.94523,98.680
2276.90499,98.668
2274.86475,98.672
2272.82452,98.680
2270.78428,98.690
2268.74404,98.696
2266.70380,98.698
2264.66357,98.708
2262.62333,98.722
2260.58309,98.718
2258.54285,98.693
2256.50262,98.678
2254.46238,98.688
2252.42214,98.708
2250.38190,98.713
2248.34167,98.702
2246.30143,98.684
2244.26119,98.681
2242.22095,98.696
2240.18072,98.711
2238.14048,98.717
2236.10024,98.714
2234.06000,98.716
2232.01977,98.720
2229.97953,98.710
2227.93929,98.697
2225.89905,98.692
2223.85882,98.693
2221.81858,98.693
2219.77834,98.695
2217.73810,98.700
2215.69787,98.699
2213.65763,98.691
2211.61739,98.684
2209.57715,98.684
2207.53692,98.692
2205.49668,98.696
2203.45644,98.690
2201.41620,98.684
2199.37597,98.684
2197.33573,98.687
2195.29549,98.681
2193.25525,98.669
2191.21502,98.670
2189.17478,98.686
2187.13454,98.694
2185.09430,98.688
2183.05407,98.680
2181.01383,98.677
2178.97359,98.682
2176.93336,98.687
2174.89312,98.686
2172.85288,98.682
2170.81264,98.668
2168.77241,98.660
2166.73217,98.658
2164.69193,98.653
2162.65169,98.657
2160.61146,98.671
2158.57122,98.678
2156.53098,98.679
2154.49074,98.679
2152.45051,98.681
2150.41027,98.681
2148.37003,98.675
2146.32979,98.666
2144.28956,98.663
2142.24932,98.675
2140.20908,98.682
2138.16884,98.668
2136.12861,98.654
2134.08837,98.654
2132.04813,98.667
2130.00789,98.686
2127.96766,98.693
2125.92742,98.683
2123.88718,98.683
2121.84694,98.687
2119.80671,98.675
2117.76647,98.667
2115.72623,98.666
2113.68599,98.660
2111.64576,98.650
2109.60552,98.639
2107.56528,98.634
2105.52504,98.640
2103.48481,98.656
2101.44457,98.680
2099.40433,98.699
2097.36409,98.697
2095.32386,98.680
2093.28362,98.666
2091.24338,98.664
2089.20315,98.669
2087.16291,98.670
2085.12267,98.665
2083.08243,98.662
2081.04220,98.662
2079.00196,98.677
2076.96172,98.697
2074.92148,98.695
2072.88125,98.673
2070.84101,98.648
2068.80077,98.635
2066.76053,98.624
2064.72030,98.620
2062.68006,98.639
2060.63982,98.657
2058.59958,98.671
2056.55935,98.676
2054.51911,98.658
2052.47887,98.636
2050.43863,98.632
2048.39840,98.645
2046.35816,98.657
2044.31792,98.656
2042.27768,98.633
2040.23745,98.619
2038.19721,98.623
2036.15697,98.632
2034.11673,98.648
2032.07650,98.662
2030.03626,98.673
2027.99602,98.682
2025.95578,98.685
2023.91555,98.675
2021.87531,98.658
2019.83507,98.629
2017.79483,98.595
2015.75460,98.618
2013.71436,98.665
2011.67412,98.672
2009.63388,98.669
2007.59365,98.673
2005.55341,98.670
2003.51317,98.648
2001.47293,98.622
1999.43270,98.616
1997.39246,98.640
1995.35222,98.655
1993.31199,98.601
1991.27175,98.562
1989.23151,98.579
1987.19127,98.590
1985.15104,98.609
1983.11080,98.619
1981.07056,98.612
1979.03032,98.610
1976.99009,98.616
1974.94985,98.617
1972.90961,98.619
1970.86937,98.627
1968.82914,98.590
1966.78890,98.561
1964.74866,98.612
1962.70842,98.647
1960.66819,98.642
1958.62795,98.630
1956.58771,98.600
1954.54747,98.583
1952.50724,98.594
1950.46700,98.601
1948.42676,98.598
1946.38652,98.603
1944.34629,98.564
1942.30605,98.529
1940.26581,98.597
1938.22557,98.632
1936.18534,98.602
1934.14510,98.587
1932.10486,98.594
1930.06462,98.608
1928.02439,98.621
1925.98415,98.602
1923.94391,98.539
1921.90367,98.565
1919.86344,98.583
1917.82320,98.523
1915.78296,98.575
1913.74272,98.626
1911.70249,98.586
1909.66225,98.532
1907.62201,98.532
1905.58177,98.558
1903.54154,98.575
1901.50130,98.594
1899.46106,98.610
1897.42083,98.595
1895.38059,98.582
1893.34035,98.626
1891.30011,98.608
1889.25988,98.559
1887.21964,98.605
1885.17940,98.629
1883.13916,98.608
1881.09893,98.588
1879.05869,98.565
1877.01845,98.571
1874.97821,98.622
1872.93798,98.661
1870.89774,98.552
1868.85750,98.413
1866.81726,98.485
1864.77703,98.608
1862.73679,98.612
1860.69655,98.571
1858.65631,98.551
1856.61608,98.550
1854.57584,98.561
1852.53560,98.584
1850.49536,98.605
1848.45513,98.610
1846.41489,98.532
1844.37465,98.421
1842.33441,98.511
1840.29418,98.622
1838.25394,98.588
1836.21370,98.590
1834.17346,98.661
1832.13323,98.616
1830.09299,98.507
1828.05275,98.543
1826.01251,98.546
1823.97228,98.523
1821.93204,98.574
1819.89180,98.570
1817.85156,98.535
1815.81133,98.555
1813.77109,98.558
1811.73085,98.489
1809.69061,98.480
1807.65038,98.550
1805.61014,98.590
1803.56990,98.534
1801.52967,98.435
1799.48943,98.465
1797.44919,98.599
1795.40895,98.617
1793.36872,98.447
1791.32848,98.404
1789.28824,98.572
1787.24800,98.605
1785.20777,98.526
1783.16753,98.502
1781.12729,98.483
1779.08705,98.522
1777.04682,98.604
1775.00658,98.535
1772.96634,98.348
1770.92610,98.365
1768.88587,98.498
1766.84563,98.595
1764.80539,98.610
1762.76515,98.468
1760.72492,98.437
1758.68468,98.475
1756.64444,98.480
1754.60420,98.557
1752.56397,98.471
1750.52373,98.298
1748.48349,98.334
1746.44325,98.451
1744.40302,98.482
1742.36278,98.438
1740.32254,98.446
1738.28230,98.632
1736.24207,98.578
1734.20183,98.254
1732.16159,98.324
1730.12135,98.493
1728.08112,98.525
1726.04088,98.523
1724.00064,98.554
1721.96040,98.669
1719.92017,98.559
1717.87993,98.245
1715.83969,98.255
1713.79945,98.479
1711.75922,98.601
1709.71898,98.592
1707.67874,98.509
1705.63851,98.539
1703.59827,98.678
1701.55803,98.496
1699.51779,98.357
1697.47756,98.431
1695.43732,98.458
1693.39708,98.640
1691.35684,98.655
1689.31661,98.604
1687.27637,98.570
1685.23613,98.256
1683.19589,98.204
1681.15566,98.530
1679.11542,98.665
1677.07518,98.538
1675.03494,98.475
1672.99471,98.608
1670.95447,98.488
1668.91423,98.374
1666.87399,98.582
1664.83376,98.583
1662.79352,98.400
1660.75328,98.506
1658.71304,98.765
1656.67281,98.752
1654.63257,98.280
1652.59233,98.217
1650.55209,98.792
1648.51186,98.700
1646.47162,98.302
1644.43138,98.445
1642.39114,98.671
1640.35091,98.707
1638.31067,98.507
1636.27043,98.173
1634.23019,98.318
1632.18996,98.658
1630.14972,98.649
1628.10948,98.542
1626.06924,98.525
1624.02901,98.448
1621.98877,98.540
1619.94853,98.662
1617.90829,98.434
1615.86806,98.329
1613.82782,98.528
1611.78758,98.547
1609.74735,98.424
1607.70711,98.390
1605.66687,98.413
1603.62663,98.390
1601.58640,98.366
1599.54616,98.383
1597.50592,98.388
1595.46568,98.377
1593.42545,98.398
1591.38521,98.419
1589.34497,98.412
1587.30473,98.396
