TITLE SAMPLE NAME:,HDPE_COKE_CAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
2297.30736,97.826
2295.26713,97.82
2293.22689,97.815
2291.18665,97.81
2289.14641,97.808
2287.10618,97.814
2285.06594,97.823
2283.0257,97.83
2280.98546,97.832
2278.94523,97.823
2276.90499,97.816
2274.86475,97.819
2272.82452,97.827
2270.78428,97.831
2268.74404,97.826
2266.7038,97.825
2264.66357,97.842
2262.62333,97.856
2260.58309,97.846
2258.54285,97.826
2256.50262,97.826
2254.46238,97.846
2252.42214,97.86
2250.3819,97.86
2248.34167,97.843
2246.30143,97.817
2244.26119,97.8
2242.22095,97.803
2240.18072,97.82
2238.14048,97.832
2236.10024,97.825
2234.06,97.822
2232.01977,97.83
2229.97953,97.83
2227.93929,97.822
2225.89905,97.82
2223.85882,97.83
2221.81858,97.838
2219.77834,97.825
2217.7381,97.806
2215.69787,97.802
2213.65763,97.813
2211.61739,97.823
2209.57715,97.827
2207.53692,97.83
2205.49668,97.823
2203.45644,97.804
2201.4162,97.794
2199.37597,97.796
2197.33573,97.798
2195.29549,97.791
2193.25525,97.786
2191.21502,97.805
2189.17478,97.834
2187.13454,97.836
2185.0943,97.811
2183.05407,97.8
2181.01383,97.811
2178.97359,97.819
2176.93336,97.819
2174.89312,97.82
2172.85288,97.826
2170.81264,97.828
2168.77241,97.813
2166.73217,97.79
2164.69193,97.79
2162.65169,97.812
2160.61146,97.818
2158.57122,97.8
2156.53098,97.793
2154.49074,97.809
2152.45051,97.825
2150.41027,97.829
2148.37003,97.813
2146.32979,97.785
2144.28956,97.771
2142.24932,97.777
2140.20908,97.79
2138.16884,97.789
2136.12861,97.78
2134.08837,97.787
2132.04813,97.804
2130.00789,97.81
2127.96766,97.801
2125.92742,97.787
2123.88718,97.784
2121.84694,97.794
2119.80671,97.806
2117.76647,97.807
2115.72623,97.796
2113.68599,97.787
2111.64576,97.784
2109.60552,97.782
2107.56528,97.782
2105.52504,97.791
2103.48481,97.804
2101.44457,97.811
2099.40433,97.811
2097.36409,97.813
2095.32386,97.816
2093.28362,97.804
2091.24338,97.779
2089.20315,97.769
2087.16291,97.769
2085.12267,97.768
2083.08243,97.772
2081.0422,97.779
2079.00196,97.797
2076.96172,97.826
2074.92148,97.831
2072.88125,97.805
2070.84101,97.787
2068.80077,97.795
2066.76053,97.779
2064.7203,97.744
2062.68006,97.738
2060.63982,97.742
2058.59958,97.758
2056.55935,97.78
2054.51911,97.785
2052.47887,97.785
2050.43863,97.793
2048.3984,97.79
2046.35816,97.782
2044.31792,97.776
2042.27768,97.754
2040.23745,97.751
2038.19721,97.775
2036.15697,97.785
2034.11673,97.783
2032.0765,97.777
2030.03626,97.772
2027.99602,97.776
2025.95578,97.786
2023.91555,97.79
2021.87531,97.787
2019.83507,97.768
2017.79483,97.736
2015.7546,97.749
2013.71436,97.773
2011.67412,97.766
2009.63388,97.765
2007.59365,97.778
2005.55341,97.776
2003.51317,97.755
2001.47293,97.742
1999.4327,97.752
1997.39246,97.776
1995.35222,97.777
1993.31199,97.71
1991.27175,97.671
1989.23151,97.697
1987.19127,97.716
1985.15104,97.739
1983.1108,97.755
1981.07056,97.758
1979.03032,97.757
1976.99009,97.751
1974.94985,97.746
1972.90961,97.751
1970.86937,97.756
1968.82914,97.718
1966.7889,97.702
1964.74866,97.765
1962.70842,97.794
1960.66819,97.769
1958.62795,97.743
1956.58771,97.713
1954.54747,97.697
1952.50724,97.704
1950.467,97.707
1948.42676,97.709
1946.38652,97.725
1944.34629,97.686
1942.30605,97.641
1940.26581,97.702
1938.22557,97.737
1936.18534,97.704
1934.1451,97.675
1932.10486,97.674
1930.06462,97.702
1928.02439,97.745
1925.98415,97.746
1923.94391,97.676
1921.90367,97.685
1919.86344,97.691
1917.8232,97.626
1915.78296,97.676
1913.74272,97.73
1911.70249,97.691
1909.66225,97.639
1907.62201,97.649
1905.58177,97.686
1903.54154,97.696
1901.5013,97.701
1899.46106,97.72
1897.42083,97.715
1895.38059,97.693
1893.34035,97.715
1891.30011,97.686
1889.25988,97.639
1887.21964,97.689
1885.1794,97.712
1883.13916,97.693
1881.09893,97.68
1879.05869,97.66
1877.01845,97.665
1874.97821,97.721
1872.93798,97.771
1870.89774,97.68
1868.8575,97.553
1866.81726,97.618
1864.77703,97.72
1862.73679,97.712
1860.69655,97.682
1858.65631,97.682
1856.61608,97.686
1854.57584,97.678
1852.5356,97.681
1850.49536,97.701
1848.45513,97.726
1846.41489,97.675
1844.37465,97.575
1842.33441,97.646
1840.29418,97.727
1838.25394,97.679
1836.2137,97.683
1834.17346,97.76
1832.13323,97.73
1830.09299,97.646
1828.05275,97.69
1826.01251,97.673
1823.97228,97.622
1821.93204,97.661
1819.8918,97.662
1817.85156,97.633
1815.81133,97.649
1813.77109,97.646
1811.73085,97.578
1809.69061,97.573
1807.65038,97.644
1805.61014,97.682
1803.5699,97.622
1801.52967,97.526
1799.48943,97.565
1797.44919,97.712
1795.40895,97.736
1793.36872,97.559
1791.32848,97.5
1789.28824,97.654
1787.248,97.688
1785.20777,97.624
1783.16753,97.613
1781.12729,97.596
1779.08705,97.634
1777.04682,97.718
1775.00658,97.661
1772.96634,97.487
1770.9261,97.493
1768.88587,97.599
1766.84563,97.679
1764.80539,97.696
1762.76515,97.577
1760.72492,97.573
1758.68468,97.62
1756.64444,97.616
1754.6042,97.68
1752.56397,97.587
1750.52373,97.412
1748.48349,97.444
1746.44325,97.543
1744.40302,97.556
1742.36278,97.515
1740.32254,97.53
1738.2823,97.698
1736.24207,97.618
1734.20183,97.292
1732.16159,97.368
1730.12135,97.527
1728.08112,97.538
1726.04088,97.52
1724.00064,97.538
1721.9604,97.635
1719.92017,97.511
1717.87993,97.201
1715.83969,97.216
1713.79945,97.425
1711.75922,97.522
1709.71898,97.495
1707.67874,97.406
1705.63851,97.432
1703.59827,97.57
1701.55803,97.415
1699.51779,97.327
1697.47756,97.416
1695.43732,97.414
1693.39708,97.578
1691.35684,97.602
1689.31661,97.568
1687.27637,97.545
1685.23613,97.241
1683.19589,97.191
1681.15566,97.524
1679.11542,97.665
1677.07518,97.536
1675.03494,97.476
1672.99471,97.614
1670.95447,97.493
1668.91423,97.374
1666.87399,97.575
1664.83376,97.573
1662.79352,97.396
1660.75328,97.507
1658.71304,97.749
1656.67281,97.699
1654.63257,97.21
1652.59233,97.17
1650.55209,97.775
1648.51186,97.702
1646.47162,97.302
1644.43138,97.427
1642.39114,97.64
1640.35091,97.681
1638.31067,97.522
1636.27043,97.243
1634.23019,97.399
1632.18996,97.718
1630.14972,97.696
1628.10948,97.593
1626.06924,97.58
1624.02901,97.511
1621.98877,97.613
1619.94853,97.746
1617.90829,97.532
1615.86806,97.422
1613.82782,97.59
1611.78758,97.587
1609.74735,97.47
1607.70711,97.443
1605.66687,97.466
1603.62663,97.458
1601.5864,97.462
1599.54616,97.498
1597.50592,97.496
1595.46568,97.456
1593.42545,97.445
1591.38521,97.452
1589.34497,97.443
1587.30473,97.429
1585.2645,97.419
1583.22426,97.45
1581.18402,97.549
1579.14378,97.528
1577.10355,97.308
1575.06331,97.399
1573.02307,97.676
1570.98283,97.528
1568.9426,97.363
1566.90236,97.499
1564.86212,97.689
1562.82188,97.783
1560.78165,97.385
1558.74141,96.993
1556.70117,97.397
1554.66093,97.645
1552.6207,97.558
1550.58046,97.447
1548.54022,97.492
1546.49998,97.564
1544.45975,97.514
1542.41951,97.357
1540.37927,97.156
1538.33903,97.454
1536.2988,97.696
1534.25856,97.423
1532.21832,97.343
1530.17808,97.507
1528.13785,97.452
1526.09761,97.405
1524.05737,97.42
1522.01713,97.337
1519.9769,97.426
1517.93666,97.464
1515.89642,97.443
1513.85619,97.588
1511.81595,97.672
1509.77571,97.43
1507.73547,96.944
1505.69524,97.094
1503.655,97.659
1501.61476,97.759
1499.57452,97.503
1497.53429,97.342
1495.49405,97.512
1493.45381,97.701
1491.41357,97.518
1489.37334,97.313
1487.3331,97.462
