TITLE SAMPLE NAME:,PP_BOX_BLACK
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.613
LASTX:,599.82981
LASTY:,98.846
NPOINTS:,1681
2295.26713,98.501
2293.22689,98.507
2291.18665,98.492
2289.14641,98.468
2287.10618,98.462
2285.06594,98.478
2283.0257,98.492
2280.98546,98.49
2278.94523,98.473
2276.90499,98.459
2274.86475,98.458
2272.82452,98.465
2270.78428,98.478
2268.74404,98.489
2266.7038,98.502
2264.66357,98.526
2262.62333,98.541
2260.58309,98.52
2258.54285,98.478
2256.50262,98.46
2254.46238,98.476
2252.42214,98.498
2250.3819,98.508
2248.34167,98.508
2246.30143,98.505
2244.26119,98.507
2242.22095,98.502
2240.18072,98.488
2238.14048,98.475
2236.10024,98.47
2234.06,98.493
2232.01977,98.522
2229.97953,98.52
2227.93929,98.504
2225.89905,98.5
2223.85882,98.504
2221.81858,98.508
2219.77834,98.503
2217.7381,98.484
2215.69787,98.474
2213.65763,98.491
2211.61739,98.504
2209.57715,98.49
2207.53692,98.476
2205.49668,98.475
2203.45644,98.465
2201.4162,98.458
2199.37597,98.473
2197.33573,98.49
2195.29549,98.488
2193.25525,98.488
2191.21502,98.503
2189.17478,98.52
2187.13454,98.515
2185.0943,98.492
2183.05407,98.493
2181.01383,98.517
2178.97359,98.53
2176.93336,98.527
2174.89312,98.509
2172.85288,98.495
2170.81264,98.491
2168.77241,98.48
2166.73217,98.466
2164.69193,98.467
2162.65169,98.486
2160.61146,98.493
2158.57122,98.476
2156.53098,98.464
2154.49074,98.472
2152.45051,98.488
2150.41027,98.501
2148.37003,98.499
2146.32979,98.485
2144.28956,98.48
2142.24932,98.48
2140.20908,98.473
2138.16884,98.461
2136.12861,98.461
2134.08837,98.474
2132.04813,98.485
2130.00789,98.497
2127.96766,98.506
2125.92742,98.492
2123.88718,98.473
2121.84694,98.468
2119.80671,98.462
2117.76647,98.456
2115.72623,98.46
2113.68599,98.462
2111.64576,98.453
2109.60552,98.446
2107.56528,98.449
2105.52504,98.447
2103.48481,98.449
2101.44457,98.464
2099.40433,98.476
2097.36409,98.476
2095.32386,98.474
2093.28362,98.482
2091.24338,98.488
2089.20315,98.476
2087.16291,98.457
2085.12267,98.464
2083.08243,98.479
