TITLE SAMPLE NAME:,HDPE_BOOMER
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.143
LASTX:,599.82981
LASTY:,95.752
NPOINTS:,1681
2295.26713,97.537
2293.22689,97.551
2291.18665,97.559
2289.14641,97.562
2287.10618,97.564
2285.06594,97.565
2283.0257,97.561
2280.98546,97.557
2278.94523,97.552
2276.90499,97.549
2274.86475,97.554
2272.82452,97.57
2270.78428,97.589
2268.74404,97.597
2266.7038,97.601
2264.66357,97.615
2262.62333,97.624
2260.58309,97.61
2258.54285,97.588
2256.50262,97.586
2254.46238,97.594
2252.42214,97.594
2250.3819,97.594
2248.34167,97.596
2246.30143,97.585
2244.26119,97.57
2242.22095,97.558
2240.18072,97.559
2238.14048,97.572
2236.10024,97.579
2234.06,97.584
2232.01977,97.593
2229.97953,97.594
2227.93929,97.58
2225.89905,97.572
2223.85882,97.582
2221.81858,97.583
2219.77834,97.562
2217.7381,97.552
2215.69787,97.558
2213.65763,97.56
2211.61739,97.548
2209.57715,97.536
2207.53692,97.544
2205.49668,97.549
2203.45644,97.536
2201.4162,97.533
2199.37597,97.553
2197.33573,97.569
2195.29549,97.566
2193.25525,97.56
2191.21502,97.571
2189.17478,97.587
2187.13454,97.588
2185.0943,97.578
2183.05407,97.574
2181.01383,97.573
2178.97359,97.566
2176.93336,97.565
2174.89312,97.558
2172.85288,97.547
2170.81264,97.542
2168.77241,97.55
2166.73217,97.558
2164.69193,97.546
2162.65169,97.536
2160.61146,97.54
2158.57122,97.54
2156.53098,97.537
2154.49074,97.542
2152.45051,97.556
2150.41027,97.567
2148.37003,97.555
2146.32979,97.534
2144.28956,97.524
2142.24932,97.516
2140.20908,97.503
2138.16884,97.5
2136.12861,97.517
2134.08837,97.536
2132.04813,97.542
2130.00789,97.547
2127.96766,97.554
2125.92742,97.553
2123.88718,97.555
2121.84694,97.561
2119.80671,97.556
2117.76647,97.547
2115.72623,97.544
2113.68599,97.545
2111.64576,97.545
2109.60552,97.544
2107.56528,97.541
2105.52504,97.54
2103.48481,97.544
2101.44457,97.549
2099.40433,97.549
2097.36409,97.548
2095.32386,97.545
2093.28362,97.532
2091.24338,97.525
2089.20315,97.527
2087.16291,97.527
2085.12267,97.529
2083.08243,97.527
2081.0422,97.518
2079.00196,97.53
2076.96172,97.568
2074.92148,97.581
2072.88125,97.556
2070.84101,97.52
2068.80077,97.497
2066.76053,97.493
2064.7203,97.492
2062.68006,97.491
2060.63982,97.502
2058.59958,97.524
2056.55935,97.538
2054.51911,97.535
2052.47887,97.519
2050.43863,97.507
2048.3984,97.502
2046.35816,97.505
2044.31792,97.508
2042.27768,97.493
2040.23745,97.482
2038.19721,97.494
2036.15697,97.508
2034.11673,97.52
2032.0765,97.532
2030.03626,97.529
2027.99602,97.514
2025.95578,97.504
2023.91555,97.497
2021.87531,97.487
2019.83507,97.479
2017.79483,97.48
2015.7546,97.494
2013.71436,97.52
2011.67412,97.543
2009.63388,97.552
2007.59365,97.549
2005.55341,97.54
2003.51317,97.526
2001.47293,97.514
1999.4327,97.509
1997.39246,97.504
1995.35222,97.489
1993.31199,97.458
1991.27175,97.427
1989.23151,97.414
1987.19127,97.416
1985.15104,97.429
1983.1108,97.443
1981.07056,97.458
1979.03032,97.474
1976.99009,97.476
1974.94985,97.463
1972.90961,97.456
1970.86937,97.457
1968.82914,97.442
1966.7889,97.434
1964.74866,97.464
