TITLE SAMPLE NAME:,PET_LIPTON
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.235
LASTX:,599.82981
LASTY:,99.164
NPOINTS:,1681
2295.26713,99.242
2293.22689,99.266
2291.18665,99.288
2289.14641,99.293
2287.10618,99.292
2285.06594,99.297
2283.0257,99.3
2280.98546,99.293
2278.94523,99.278
2276.90499,99.266
2274.86475,99.259
2272.82452,99.262
2270.78428,99.278
2268.74404,99.29
2266.7038,99.301
2264.66357,99.325
2262.62333,99.346
2260.58309,99.336
2258.54285,99.306
2256.50262,99.294
2254.46238,99.311
2252.42214,99.325
2250.3819,99.321
2248.34167,99.315
2246.30143,99.306
2244.26119,99.301
2242.22095,99.3
2240.18072,99.294
2238.14048,99.288
2236.10024,99.289
2234.06,99.298
2232.01977,99.309
2229.97953,99.304
2227.93929,99.289
2225.89905,99.289
2223.85882,99.304
2221.81858,99.309
2219.77834,99.296
2217.7381,99.279
2215.69787,99.269
2213.65763,99.271
2211.61739,99.279
2209.57715,99.289
2207.53692,99.3
2205.49668,99.298
2203.45644,99.275
2201.4162,99.263
2199.37597,99.276
2197.33573,99.287
2195.29549,99.283
2193.25525,99.287
2191.21502,99.312
2189.17478,99.334
2187.13454,99.327
2185.0943,99.303
2183.05407,99.298
2181.01383,99.314
2178.97359,99.327
2176.93336,99.328
2174.89312,99.314
2172.85288,99.297
2170.81264,99.295
2168.77241,99.303
2166.73217,99.307
2164.69193,99.308
2162.65169,99.313
2160.61146,99.316
2158.57122,99.3
2156.53098,99.275
2154.49074,99.276
2152.45051,99.301
2150.41027,99.314
2148.37003,99.301
2146.32979,99.288
2144.28956,99.289
2142.24932,99.292
2140.20908,99.29
2138.16884,99.284
2136.12861,99.285
2134.08837,99.303
2132.04813,99.332
2130.00789,99.357
2127.96766,99.359
2125.92742,99.334
2123.88718,99.315
2121.84694,99.318
2119.80671,99.321
2117.76647,99.314
2115.72623,99.305
2113.68599,99.301
2111.64576,99.291
2109.60552,99.273
2107.56528,99.267
2105.52504,99.279
2103.48481,99.298
2101.44457,99.314
2099.40433,99.319
2097.36409,99.312
2095.32386,99.304
2093.28362,99.301
2091.24338,99.304
2089.20315,99.311
2087.16291,99.314
2085.12267,99.313
2083.08243,99.31
2081.0422,99.31
2079.00196,99.325
2076.96172,99.349
2074.92148,99.358
2072.88125,99.349
2070.84101,99.331
2068.80077,99.311
2066.76053,99.312
2064.7203,99.316
2062.68006,99.298
2060.63982,99.289
2058.59958,99.304
2056.55935,99.328
2054.51911,99.341
2052.47887,99.342
2050.43863,99.344
2048.3984,99.346
2046.35816,99.345
2044.31792,99.337
2042.27768,99.329
2040.23745,99.321
2038.19721,99.313
2036.15697,99.317
2034.11673,99.335
2032.0765,99.352
2030.03626,99.359
2027.99602,99.365
2025.95578,99.378
2023.91555,99.38
2021.87531,99.357
2019.83507,99.335
2017.79483,99.341
2015.7546,99.344
2013.71436,99.351
2011.67412,99.364
2009.63388,99.362
2007.59365,99.366
2005.55341,99.376
2003.51317,99.372
2001.47293,99.364
1999.4327,99.369
1997.39246,99.347
1995.35222,99.302
1993.31199,99.31
1991.27175,99.313
1989.23151,99.276
1987.19127,99.272
1985.15104,99.293
1983.1108,99.312
1981.07056,99.325
1979.03032,99.346
1976.99009,99.356
1974.94985,99.344
1972.90961,99.326
1970.86937,99.305
1968.82914,99.309
1966.7889,99.314
1964.74866,99.301
1962.70842,99.33
1960.66819,99.366
1958.62795,99.352
1956.58771,99.327
1954.54747,99.316
1952.50724,99.312
1950.467,99.303
1948.42676,99.283
1946.38652,99.259
1944.34629,99.292
1942.30605,99.333
1940.26581,99.301
1938.22557,99.302
1936.18534,99.327
1934.1451,99.321
1932.10486,99.318
1930.06462,99.334
1928.02439,99.336
1925.98415,99.322
1923.94391,99.324
1921.90367,99.28
1919.86344,99.29
1917.8232,99.349
1915.78296,99.283
1913.74272,99.246
1911.70249,99.296
1909.66225,99.326
1907.62201,99.298
1905.58177,99.286
1903.54154,99.32
1901.5013,99.34
1899.46106,99.336
1897.42083,99.357
1895.38059,99.376
1893.34035,99.339
1891.30011,99.359
1889.25988,99.392
1887.21964,99.339
1885.1794,99.334
1883.13916,99.371
1881.09893,99.376
