TITLE SAMPLE NAME:,Polyethylene Terephthalate (PET)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.00848
LASTX:,599.83616
LASTY:,0.01016
NPOINTS:,1681
3223.60929,0.00703
3221.56903,0.00713
3219.52878,0.00723
3217.48852,0.00728
3215.44826,0.00740
3213.40800,0.00748
3211.36774,0.00741
3209.32748,0.00725
3207.28722,0.00700
3205.24696,0.00682
3203.20670,0.00683
3201.16644,0.00695
3199.12619,0.00709
3197.08593,0.00716
3195.04567,0.00699
3193.00541,0.00679
3190.96515,0.00679
3188.92489,0.00694
3186.88463,0.00708
3184.84437,0.00702
3182.80411,0.00683
3180.76385,0.00682
3178.72359,0.00696
3176.68334,0.00701
3174.64308,0.00689
3172.60282,0.00675
3170.56256,0.00669
3168.52230,0.00670
3166.48204,0.00678
3164.44178,0.00684
3162.40152,0.00683
3160.36126,0.00682
3158.32100,0.00678
3156.28075,0.00671
3154.24049,0.00672
3152.20023,0.00683
3150.15997,0.00689
3148.11971,0.00685
3146.07945,0.00677
3144.03919,0.00670
3141.99893,0.00665
3139.95867,0.00665
3137.91841,0.00669
3135.87815,0.00682
3133.83790,0.00703
3131.79764,0.00711
3129.75738,0.00702
3127.71712,0.00698
3125.67686,0.00707
3123.63660,0.00722
3121.59634,0.00729
3119.55608,0.00731
3117.51582,0.00737
3115.47556,0.00735
3113.43531,0.00717
3111.39505,0.00701
3109.35479,0.00701
3107.31453,0.00714
3105.27427,0.00728
3103.23401,0.00744
3101.19375,0.00752
3099.15349,0.00744
3097.11323,0.00736
3095.07297,0.00727
3093.03272,0.00710
3090.99246,0.00698
3088.95220,0.00697
3086.91194,0.00699
3084.87168,0.00699
3082.83142,0.00709
3080.79116,0.00725
3078.75090,0.00718
3076.71064,0.00691
3074.67038,0.00674
3072.63012,0.00670
3070.58987,0.00679
3068.54961,0.00705
3066.50935,0.00731
3064.46909,0.00733
3062.42883,0.00716
3060.38857,0.00704
3058.34831,0.00708
3056.30805,0.00715
3054.26779,0.00707
3052.22753,0.00698
3050.18728,0.00701
3048.14702,0.00703
3046.10676,0.00701
3044.06650,0.00699
3042.02624,0.00687
3039.98598,0.00672
3037.94572,0.00669
3035.90546,0.00680
3033.86520,0.00698
3031.82494,0.00704
3029.78468,0.00683
3027.74443,0.00662
3025.70417,0.00658
3023.66391,0.00653
3021.62365,0.00639
3019.58339,0.00628
3017.54313,0.00626
3015.50287,0.00627
3013.46261,0.00626
3011.42235,0.00612
3009.38209,0.00585
3007.34184,0.00566
3005.30158,0.00559
3003.26132,0.00549
3001.22106,0.00531
2999.18080,0.00514
2997.14054,0.00508
2995.10028,0.00511
2993.06002,0.00505
2991.01976,0.00485
2988.97950,0.00469
2986.93924,0.00463
2984.89899,0.00461
2982.85873,0.00467
2980.81847,0.00476
2978.77821,0.00482
2976.73795,0.00486
2974.69769,0.00484
2972.65743,0.00478
2970.61717,0.00477
2968.57691,0.00484
2966.53665,0.00493
2964.49640,0.00498
2962.45614,0.00496
2960.41588,0.00493
2958.37562,0.00499
2956.33536,0.00514
2954.29510,0.00521
2952.25484,0.00517
2950.21458,0.00519
2948.17432,0.00526
2946.13406,0.00527
2944.09380,0.00526
2942.05355,0.00531
2940.01329,0.00538
2937.97303,0.00544
2935.93277,0.00554
2933.89251,0.00569
2931.85225,0.00578
2929.81199,0.00581
2927.77173,0.00580
2925.73147,0.00576
2923.69121,0.00569
