TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
2295.26713,98.594
2293.22689,98.606
2291.18665,98.607
2289.14641,98.596
2287.10618,98.603
2285.06594,98.635
2283.0257,98.663
2280.98546,98.666
2278.94523,98.646
2276.90499,98.618
2274.86475,98.6
2272.82452,98.6
2270.78428,98.614
2268.74404,98.626
2266.7038,98.637
2264.66357,98.658
2262.62333,98.668
2260.58309,98.653
2258.54285,98.63
2256.50262,98.626
2254.46238,98.638
2252.42214,98.637
2250.3819,98.623
2248.34167,98.609
2246.30143,98.593
2244.26119,98.583
2242.22095,98.589
2240.18072,98.61
2238.14048,98.623
2236.10024,98.623
2234.06,98.635
2232.01977,98.65
2229.97953,98.641
2227.93929,98.621
2225.89905,98.615
2223.85882,98.616
2221.81858,98.616
2219.77834,98.611
2217.7381,98.6
2215.69787,98.599
2213.65763,98.616
2211.61739,98.624
2209.57715,98.61
2207.53692,98.6
2205.49668,98.6
2203.45644,98.596
2201.4162,98.595
2199.37597,98.602
2197.33573,98.597
2195.29549,98.584
2193.25525,98.589
2191.21502,98.614
2189.17478,98.639
2187.13454,98.643
2185.0943,98.631
2183.05407,98.624
2181.01383,98.633
2178.97359,98.644
2176.93336,98.642
2174.89312,98.624
2172.85288,98.609
2170.81264,98.611
2168.77241,98.621
2166.73217,98.614
2164.69193,98.593
2162.65169,98.593
2160.61146,98.614
2158.57122,98.618
2156.53098,98.611
2154.49074,98.615
2152.45051,98.618
2150.41027,98.614
2148.37003,98.604
2146.32979,98.59
2144.28956,98.578
2142.24932,98.568
2140.20908,98.563
2138.16884,98.565
2136.12861,98.582
2134.08837,98.602
2132.04813,98.606
2130.00789,98.612
2127.96766,98.622
2125.92742,98.613
2123.88718,98.605
2121.84694,98.611
2119.80671,98.604
2117.76647,98.59
2115.72623,98.601
2113.68599,98.618
2111.64576,98.609
2109.60552,98.592
2107.56528,98.583
2105.52504,98.573
2103.48481,98.567
2101.44457,98.576
2099.40433,98.594
2097.36409,98.604
2095.32386,98.601
2093.28362,98.594
2091.24338,98.584
2089.20315,98.566
2087.16291,98.557
2085.12267,98.567
2083.08243,98.581
2081.0422,98.583
