TITLE SAMPLE NAME:,HDPE_MED_BOX
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
2295.26713,98.689
2293.22689,98.725
2291.18665,98.728
2289.14641,98.702
2287.10618,98.694
2285.06594,98.714
2283.0257,98.733
2280.98546,98.729
2278.94523,98.707
2276.90499,98.699
2274.86475,98.709
2272.82452,98.719
2270.78428,98.728
2268.74404,98.735
2266.7038,98.735
2264.66357,98.739
2262.62333,98.755
2260.58309,98.76
2258.54285,98.74
2256.50262,98.727
2254.46238,98.738
2252.42214,98.748
2250.3819,98.752
2248.34167,98.754
2246.30143,98.74
2244.26119,98.723
2242.22095,98.721
2240.18072,98.725
2238.14048,98.724
2236.10024,98.724
2234.06,98.738
2232.01977,98.75
2229.97953,98.74
2227.93929,98.717
2225.89905,98.705
2223.85882,98.71
2221.81858,98.715
2219.77834,98.719
2217.7381,98.727
2215.69787,98.725
2213.65763,98.721
2211.61739,98.722
2209.57715,98.72
2207.53692,98.72
2205.49668,98.722
2203.45644,98.717
2201.4162,98.718
2199.37597,98.736
2197.33573,98.748
2195.29549,98.734
2193.25525,98.723
2191.21502,98.723
2189.17478,98.723
2187.13454,98.719
2185.0943,98.709
2183.05407,98.711
2181.01383,98.73
2178.97359,98.742
2176.93336,98.731
2174.89312,98.71
2172.85288,98.704
2170.81264,98.717
2168.77241,98.728
2166.73217,98.719
2164.69193,98.707
2162.65169,98.715
2160.61146,98.726
2158.57122,98.718
2156.53098,98.709
2154.49074,98.716
2152.45051,98.727
2150.41027,98.731
2148.37003,98.728
2146.32979,98.72
2144.28956,98.706
2142.24932,98.694
2140.20908,98.691
2138.16884,98.694
2136.12861,98.704
2134.08837,98.721
2132.04813,98.735
2130.00789,98.739
2127.96766,98.737
