TITLE SAMPLE NAME:,PP_ICE_CREAM
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.787
LASTX:,599.82981
LASTY:,97.212
NPOINTS:,1681
2295.26713,97.45
2293.22689,97.469
2291.18665,97.478
2289.14641,97.476
2287.10618,97.479
2285.06594,97.491
2283.0257,97.506
2280.98546,97.512
2278.94523,97.501
2276.90499,97.488
2274.86475,97.482
2272.82452,97.48
2270.78428,97.488
2268.74404,97.502
2266.7038,97.51
2264.66357,97.52
2262.62333,97.531
2260.58309,97.524
2258.54285,97.498
2256.50262,97.478
2254.46238,97.482
2252.42214,97.497
2250.3819,97.504
2248.34167,97.498
2246.30143,97.49
2244.26119,97.498
2242.22095,97.511
2240.18072,97.513
2238.14048,97.493
2236.10024,97.47
2234.06,97.478
2232.01977,97.505
2229.97953,97.509
2227.93929,97.498
2225.89905,97.496
2223.85882,97.505
2221.81858,97.509
2219.77834,97.499
2217.7381,97.489
2215.69787,97.492
2213.65763,97.494
2211.61739,97.485
2209.57715,97.481
2207.53692,97.492
2205.49668,97.499
2203.45644,97.485
2201.4162,97.476
2199.37597,97.493
2197.33573,97.507
2195.29549,97.498
2193.25525,97.488
2191.21502,97.499
2189.17478,97.519
2187.13454,97.512
2185.0943,97.49
2183.05407,97.486
2181.01383,97.488
2178.97359,97.486
2176.93336,97.489
2174.89312,97.495
2172.85288,97.498
2170.81264,97.49
2168.77241,97.482
2166.73217,97.481
2164.69193,97.481
2162.65169,97.485
2160.61146,97.489
2158.57122,97.481
2156.53098,97.468
2154.49074,97.466
2152.45051,97.474
2150.41027,97.479
2148.37003,97.471
2146.32979,97.461
2144.28956,97.455
2142.24932,97.455
2140.20908,97.455
2138.16884,97.439
2136.12861,97.432
2134.08837,97.452
2132.04813,97.478
2130.00789,97.498
2127.96766,97.505
2125.92742,97.489
2123.88718,97.468
2121.84694,97.468
2119.80671,97.471
2117.76647,97.463
2115.72623,97.455
2113.68599,97.458
2111.64576,97.459
2109.60552,97.451
2107.56528,97.458
2105.52504,97.478
2103.48481,97.48
2101.44457,97.476
2099.40433,97.483
2097.36409,97.489
2095.32386,97.49
2093.28362,97.488
2091.24338,97.487
2089.20315,97.485
2087.16291,97.463
2085.12267,97.442
2083.08243,97.445
2081.0422,97.449
2079.00196,97.456
2076.96172,97.484
2074.92148,97.509
2072.88125,97.504
2070.84101,97.478
2068.80077,97.454
2066.76053,97.426
2064.7203,97.41
2062.68006,97.423
2060.63982,97.435
2058.59958,97.451
2056.55935,97.47
2054.51911,97.463
2052.47887,97.454
2050.43863,97.465
2048.3984,97.467
2046.35816,97.457
2044.31792,97.456
2042.27768,97.446
2040.23745,97.442
2038.19721,97.446
2036.15697,97.452
2034.11673,97.469
2032.0765,97.474
2030.03626,97.462
2027.99602,97.467
2025.95578,97.486
2023.91555,97.498
2021.87531,97.502
2019.83507,97.485
2017.79483,97.448
2015.7546,97.455
2013.71436,97.485
2011.67412,97.482
2009.63388,97.478
2007.59365,97.482
2005.55341,97.483
2003.51317,97.478
2001.47293,97.47
1999.4327,97.47
1997.39246,97.485
1995.35222,97.484
1993.31199,97.42
1991.27175,97.385
1989.23151,97.406
1987.19127,97.414
1985.15104,97.43
1983.1108,97.436
1981.07056,97.429
1979.03032,97.431
1976.99009,97.439
1974.94985,97.44
1972.90961,97.44
1970.86937,97.44
1968.82914,97.4
1966.7889,97.384
1964.74866,97.45
1962.70842,97.487
1960.66819,97.478
1958.62795,97.459
1956.58771,97.43
1954.54747,97.42
1952.50724,97.438
1950.467,97.449
1948.42676,97.446
1946.38652,97.444
1944.34629,97.396
1942.30605,97.36
1940.26581,97.427
1938.22557,97.457
1936.18534,97.422
1934.1451,97.397
1932.10486,97.399
1930.06462,97.418
1928.02439,97.443
1925.98415,97.433
1923.94391,97.37
1921.90367,97.396
1919.86344,97.418
1917.8232,97.368
1915.78296,97.426
1913.74272,97.469
1911.70249,97.427
1909.66225,97.386
1907.62201,97.395
1905.58177,97.411
1903.54154,97.402
1901.5013,97.401
1899.46106,97.415
1897.42083,97.41
1895.38059,97.409
1893.34035,97.459
1891.30011,97.434
1889.25988,97.376
1887.21964,97.425
1885.1794,97.461
1883.13916,97.457
1881.09893,97.448
1879.05869,97.421
1877.01845,97.407
1874.97821,97.438
1872.93798,97.47
1870.89774,97.372
1868.8575,97.255
1866.81726,97.331
1864.77703,97.437
1862.73679,97.427
1860.69655,97.388
1858.65631,97.384
1856.61608,97.404
1854.57584,97.419
1852.5356,97.418
1850.49536,97.413
1848.45513,97.419
1846.41489,97.364
1844.37465,97.275
1842.33441,97.362
1840.29418,97.455
1838.25394,97.417
1836.2137,97.423
1834.17346,97.49
1832.13323,97.443
1830.09299,97.356
1828.05275,97.405
1826.01251,97.394
1823.97228,97.349
1821.93204,97.378
1819.8918,97.36
1817.85156,97.329
1815.81133,97.358
1813.77109,97.369
1811.73085,97.313
1809.69061,97.315
1807.65038,97.384
1805.61014,97.414
1803.5699,97.344
1801.52967,97.246
1799.48943,97.29
1797.44919,97.425
1795.40895,97.424
1793.36872,97.248
1791.32848,97.225
1789.28824,97.413
1787.248,97.452
1785.20777,97.383
1783.16753,97.371
1781.12729,97.356
1779.08705,97.392
1777.04682,97.467
1775.00658,97.402
1772.96634,97.237
1770.9261,97.264
1768.88587,97.379
1766.84563,97.446
1764.80539,97.434
1762.76515,97.285
1760.72492,97.271
1758.68468,97.326
1756.64444,97.329
1754.6042,97.381
1752.56397,97.268
1750.52373,97.09
1748.48349,97.135
1746.44325,97.251
1744.40302,97.276
1742.36278,97.246
1740.32254,97.273
1738.2823,97.44
1736.24207,97.346
1734.20183,97.021
1732.16159,97.109
1730.12135,97.268
1728.08112,97.284
1726.04088,97.284
1724.00064,97.33
1721.9604,97.453
1719.92017,97.356
1717.87993,97.09
1715.83969,97.149
1713.79945,97.372
1711.75922,97.462
1709.71898,97.427
1707.67874,97.331
1705.63851,97.354
1703.59827,97.489
1701.55803,97.322
1699.51779,97.212
1697.47756,97.282
1695.43732,97.276
1693.39708,97.43
1691.35684,97.433
1689.31661,97.388
1687.27637,97.367
1685.23613,97.081
1683.19589,97.046
1681.15566,97.354
1679.11542,97.462
1677.07518,97.319
1675.03494,97.259
1672.99471,97.401
1670.95447,97.289
1668.91423,97.183
1666.87399,97.383
1664.83376,97.364
1662.79352,97.168
1660.75328,97.263
1658.71304,97.491
1656.67281,97.444
1654.63257,96.991
1652.59233,96.991
1650.55209,97.586
1648.51186,97.498
1646.47162,97.128
1644.43138,97.272
1642.39114,97.46
1640.35091,97.466
1638.31067,97.286
1636.27043,97.015
1634.23019,97.189
1632.18996,97.49
1630.14972,97.436
1628.10948,97.322
1626.06924,97.311
1624.02901,97.244
1621.98877,97.347
1619.94853,97.472
