TITLE SAMPLE NAME:,PP_PLASTIC_BOX_PARCEL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.359
LASTX:,599.82981
LASTY:,96.005
NPOINTS:,1681
2301.38784,97.907
2299.3476,97.901
2297.30736,97.903
2295.26713,97.916
2293.22689,97.927
2291.18665,97.921
2289.14641,97.904
2287.10618,97.899
2285.06594,97.913
2283.0257,97.929
2280.98546,97.939
2278.94523,97.942
2276.90499,97.929
2274.86475,97.914
2272.82452,97.919
2270.78428,97.941
2268.74404,97.959
2266.7038,97.961
2264.66357,97.959
2262.62333,97.964
2260.58309,97.966
2258.54285,97.96
2256.50262,97.958
2254.46238,97.969
2252.42214,97.985
2250.3819,97.989
2248.34167,97.969
2246.30143,97.946
2244.26119,97.945
2242.22095,97.953
2240.18072,97.953
2238.14048,97.954
2236.10024,97.948
2234.06,97.93
2232.01977,97.923
2229.97953,97.929
2227.93929,97.922
2225.89905,97.91
2223.85882,97.923
2221.81858,97.949
2219.77834,97.96
2217.7381,97.954
2215.69787,97.945
2213.65763,97.946
2211.61739,97.95
2209.57715,97.943
2207.53692,97.935
2205.49668,97.937
2203.45644,97.939
2201.4162,97.945
2199.37597,97.95
2197.33573,97.938
2195.29549,97.918
2193.25525,97.918
2191.21502,97.939
2189.17478,97.946
2187.13454,97.938
2185.0943,97.94
2183.05407,97.947
2181.01383,97.946
2178.97359,97.941
2176.93336,97.938
2174.89312,97.94
2172.85288,97.947
2170.81264,97.954
2168.77241,97.957
2166.73217,97.951
2164.69193,97.943
2162.65169,97.943
2160.61146,97.944
2158.57122,97.937
2156.53098,97.925
2154.49074,97.931
2152.45051,97.948
2150.41027,97.953
2148.37003,97.946
2146.32979,97.933
2144.28956,97.909
2142.24932,97.895
2140.20908,97.905
2138.16884,97.923
2136.12861,97.927
2134.08837,97.915
2132.04813,97.919
2130.00789,97.942
2127.96766,97.948
2125.92742,97.94
2123.88718,97.943
2121.84694,97.952
2119.80671,97.946
2117.76647,97.932
2115.72623,97.925
2113.68599,97.922
2111.64576,97.922
2109.60552,97.917
2107.56528,97.91
2105.52504,97.907
2103.48481,97.903
2101.44457,97.906
2099.40433,97.925
2097.36409,97.937
2095.32386,97.934
2093.28362,97.931
2091.24338,97.93
2089.20315,97.927
2087.16291,97.927
2085.12267,97.923
2083.08243,97.916
2081.0422,97.914
2079.00196,97.908
2076.96172,97.898
2074.92148,97.893
2072.88125,97.894
2070.84101,97.899
2068.80077,97.904
2066.76053,97.905
2064.7203,97.899
2062.68006,97.894
2060.63982,97.906
2058.59958,97.927
2056.55935,97.925
2054.51911,97.908
2052.47887,97.91
2050.43863,97.921
2048.3984,97.925
2046.35816,97.933
2044.31792,97.94
2042.27768,97.937
2040.23745,97.934
2038.19721,97.933
2036.15697,97.927
2034.11673,97.916
2032.0765,97.905
2030.03626,97.899
2027.99602,97.899
2025.95578,97.892
2023.91555,97.876
2021.87531,97.866
2019.83507,97.867
2017.79483,97.878
2015.7546,97.895
2013.71436,97.898
2011.67412,97.89
2009.63388,97.886
2007.59365,97.891
2005.55341,97.898
2003.51317,97.898
2001.47293,97.892
1999.4327,97.886
1997.39246,97.889
1995.35222,97.897
1993.31199,97.888
1991.27175,97.864
1989.23151,97.851
1987.19127,97.863
1985.15104,97.881
1983.1108,97.887
1981.07056,97.884
1979.03032,97.879
1976.99009,97.876
1974.94985,97.881
1972.90961,97.888
1970.86937,97.888
1968.82914,97.88
1966.7889,97.872
1964.74866,97.867
1962.70842,97.868
1960.66819,97.878
1958.62795,97.897
1956.58771,97.909
1954.54747,97.91
1952.50724,97.906
1950.467,97.898
1948.42676,97.886
1946.38652,97.872
1944.34629,97.854
1942.30605,97.831
1940.26581,97.825
1938.22557,97.841
1936.18534,97.859
1934.1451,97.872
1932.10486,97.885
1930.06462,97.893
1928.02439,97.892
1925.98415,97.879
1923.94391,97.846
1921.90367,97.813
1919.86344,97.799
1917.8232,97.797
1915.78296,97.817
1913.74272,97.848
1911.70249,97.856
1909.66225,97.838
1907.62201,97.828
1905.58177,97.834
1903.54154,97.839
1901.5013,97.836
1899.46106,97.828
1897.42083,97.814
1895.38059,97.805
1893.34035,97.815
1891.30011,97.832
1889.25988,97.838
1887.21964,97.839
1885.1794,97.847
1883.13916,97.863
1881.09893,97.867
1879.05869,97.857
1877.01845,97.852
1874.97821,97.854
1872.93798,97.851
1870.89774,97.842
1868.8575,97.826
1866.81726,97.803
1864.77703,97.794
1862.73679,97.804
1860.69655,97.816
1858.65631,97.818
1856.61608,97.818
1854.57584,97.827
1852.5356,97.84
1850.49536,97.845
1848.45513,97.837
1846.41489,97.813
1844.37465,97.779
1842.33441,97.769
1840.29418,97.793
1838.25394,97.822
1836.2137,97.837
1834.17346,97.848
1832.13323,97.854
1830.09299,97.843
1828.05275,97.832
1826.01251,97.832
1823.97228,97.831
1821.93204,97.831
1819.8918,97.831
1817.85156,97.83
1815.81133,97.829
1813.77109,97.826
1811.73085,97.817
1809.69061,97.804
1807.65038,97.794
1805.61014,97.79
1803.5699,97.793
1801.52967,97.801
1799.48943,97.806
1797.44919,97.805
1795.40895,97.807
1793.36872,97.803
1791.32848,97.777
1789.28824,97.762
1787.248,97.769
1785.20777,97.777
1783.16753,97.782
1781.12729,97.779
1779.08705,97.773
1777.04682,97.792
1775.00658,97.834
1772.96634,97.835
1770.9261,97.769
1768.88587,97.718
1766.84563,97.735
1764.80539,97.784
1762.76515,97.803
1760.72492,97.776
1758.68468,97.738
1756.64444,97.717
1754.6042,97.713
1752.56397,97.705
1750.52373,97.677
1748.48349,97.65
1746.44325,97.65
1744.40302,97.676
1742.36278,97.709
1740.32254,97.728
1738.2823,97.726
1736.24207,97.702
1734.20183,97.649
1732.16159,97.615
1730.12135,97.645
1728.08112,97.692
1726.04088,97.72
1724.00064,97.739
1721.9604,97.774
1719.92017,97.812
1717.87993,97.787
1715.83969,97.706
1713.79945,97.677
1711.75922,97.717
1709.71898,97.776
1707.67874,97.809
1705.63851,97.781
1703.59827,97.718
1701.55803,97.671
1699.51779,97.651
1697.47756,97.653
1695.43732,97.66
1693.39708,97.675
1691.35684,97.696
1689.31661,97.715
1687.27637,97.741
1685.23613,97.745
1683.19589,97.694
1681.15566,97.665
1679.11542,97.697
1677.07518,97.741
1675.03494,97.747
1672.99471,97.727
1670.95447,97.708
1668.91423,97.681
1666.87399,97.669
1664.83376,97.686
1662.79352,97.701
1660.75328,97.694
1658.71304,97.687
1656.67281,97.702
1654.63257,97.714
1652.59233,97.684
1650.55209,97.675
1648.51186,97.691
1646.47162,97.671
1644.43138,97.639
1642.39114,97.642
1640.35091,97.673
1638.31067,97.711
1636.27043,97.699
1634.23019,97.635
1632.18996,97.61
1630.14972,97.634
1628.10948,97.664
1626.06924,97.678
1624.02901,97.676
1621.98877,97.66
1619.94853,97.661
1617.90829,97.681
1615.86806,97.677
1613.82782,97.66
1611.78758,97.661
1609.74735,97.662
1607.70711,97.654
1605.66687,97.642
1603.62663,97.63
1601.5864,97.62
1599.54616,97.62
1597.50592,97.627
1595.46568,97.634
1593.42545,97.651
1591.38521,97.665
1589.34497,97.663
1587.30473,97.66
1585.2645,97.661
1583.22426,97.659
1581.18402,97.666
1579.14378,97.687
1577.10355,97.689
1575.06331,97.678
1573.02307,97.7
1570.98283,97.731
1568.9426,97.731
1566.90236,97.726
1564.86212,97.743
1562.82188,97.774
1560.78165,97.772
1558.74141,97.681
1556.70117,97.584
1554.66093,97.574
1552.6207,97.597
1550.58046,97.627
1548.54022,97.664
1546.49998,97.684
1544.45975,97.676
1542.41951,97.676
1540.37927,97.685
1538.33903,97.679
1536.2988,97.681
1534.25856,97.673
1532.21832,97.654
1530.17808,97.66
1528.13785,97.665
1526.09761,97.638
1524.05737,97.634
1522.01713,97.673
1519.9769,97.698
1517.93666,97.682
1515.89642,97.64
1513.85619,97.607
1511.81595,97.592
1509.77571,97.574
1507.73547,97.554
1505.69524,97.574
1503.655,97.637
1501.61476,97.702
1499.57452,97.731
1497.53429,97.699
1495.49405,97.649
1493.45381,97.637
1491.41357,97.628
