TITLE SAMPLE NAME:,PP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.27430926
LASTX:,599.83616
LASTY:,97.67423085
NPOINTS:,1681
2444.20446,0.96962
2442.16422,0.96961
2440.12399,0.96959
2438.08375,0.9696
2436.04351,0.96965
2434.00327,0.96971
2431.96304,0.96974
2429.9228,0.96979
2427.88256,0.96985
2425.84232,0.9698
2423.80209,0.96958
2421.76185,0.96943
2419.72161,0.9695
2417.68137,0.96957
2415.64114,0.96949
2413.6009,0.96937
2411.56066,0.96932
2409.52042,0.96932
2407.48019,0.96937
2405.43995,0.96946
2403.39971,0.96958
2401.35947,0.96962
2399.31924,0.9695
2397.279,0.96941
2395.23876,0.96943
2393.19852,0.9695
2391.15829,0.9696
2389.11805,0.96972
2387.07781,0.96976
2385.03757,0.96966
2382.99734,0.96952
2380.9571,0.96945
2378.91686,0.96944
2376.87662,0.96944
2374.83639,0.96952
2372.79615,0.96965
2370.75591,0.96982
2368.71568,0.96997
2366.67544,0.9701
2364.6352,0.97028
2362.59496,0.9704
2360.55473,0.97025
2358.51449,0.96998
2356.47425,0.96972
2354.43401,0.96937
2352.39378,0.96914
2350.35354,0.96934
2348.3133,0.96989
2346.27306,0.97046
2344.23283,0.97074
2342.19259,0.97062
2340.15235,0.97033
2338.11211,0.97017
2336.07188,0.97022
2334.03164,0.9703
2331.9914,0.9702
2329.95116,0.96986
2327.91093,0.96947
2325.87069,0.96916
2323.83045,0.96889
2321.79021,0.96871
2319.74998,0.96867
2317.70974,0.96881
2315.6695,0.96912
2313.62926,0.96943
2311.58903,0.96955
2309.54879,0.96944
2307.50855,0.96925
2305.46831,0.9691
2303.42808,0.969
2301.38784,0.96897
2299.3476,0.96907
2297.30736,0.96931
2295.26713,0.96949
2293.22689,0.96948
2291.18665,0.96938
2289.14641,0.9693
2287.10618,0.96926
2285.06594,0.96934
2283.0257,0.96946
2280.98546,0.96946
2278.94523,0.96939
2276.90499,0.96925
2274.86475,0.96913
2272.82452,0.96918
2270.78428,0.96939
2268.74404,0.96962
2266.7038,0.96973
2264.66357,0.96971
2262.62333,0.9697
2260.58309,0.96968
2258.54285,0.96961
2256.50262,0.96958
2254.46238,0.96966
2252.42214,0.96979
2250.3819,0.96982
2248.34167,0.96964
2246.30143,0.96943
2244.26119,0.96944
2242.22095,0.9695
2240.18072,0.96945
2238.14048,0.96941
2236.10024,0.96937
2234.06,0.96933
2232.01977,0.96944
2229.97953,0.96955
2227.93929,0.96945
2225.89905,0.96935
2223.85882,0.96938
2221.81858,0.9695
2219.77834,0.96962
2217.7381,0.96967
2215.69787,0.96963
2213.65763,0.96958
2211.61739,0.96957
2209.57715,0.96948
2207.53692,0.96932
2205.49668,0.9693
2203.45644,0.96939
2201.4162,0.96941
2199.37597,0.96933
2197.33573,0.96928
2195.29549,0.96931
2193.25525,0.96934
2191.21502,0.96941
2189.17478,0.96948
2187.13454,0.96942
2185.0943,0.9693
2183.05407,0.9692
2181.01383,0.96928
2178.97359,0.96949
2176.93336,0.96961
2174.89312,0.96962
2172.85288,0.96952
2170.81264,0.96941
2168.77241,0.96936
2166.73217,0.96935
2164.69193,0.9693
2162.65169,0.96921
2160.61146,0.96918
2158.57122,0.96923
2156.53098,0.96927
2154.49074,0.96929
2152.45051,0.96931
2150.41027,0.96927
2148.37003,0.96924
2146.32979,0.96924
2144.28956,0.96922
2142.24932,0.96923
2140.20908,0.96929
2138.16884,0.96935
2136.12861,0.96938
